Date,Open,High,Low,Close,Volume,Name
2017-08-10 06:00:00,427.34,427.34,427.34,427.34,0,BLK
2017-08-10 09:30:00,429.78,429.78,426.78,427.88,62690,BLK
2017-08-10 10:30:00,427.79,428.08,425.81,425.82,68710,BLK
2017-08-10 11:30:00,425.86,426.34,424.07,424.07,50368,BLK
2017-08-10 12:30:00,423.87,425.99,423.38,425.71,46539,BLK
2017-08-10 13:30:00,425.74,426.2,424.83,425.87,44662,BLK
2017-08-10 14:30:00,426.06,426.6,423.45,423.52,80902,BLK
2017-08-10 15:30:00,423.78,423.95,422.5,422.51,93809,BLK
2017-08-10 16:00:00,422.69,422.69,422.69,422.69,0,BLK
2017-08-10 17:00:00,422.64,422.64,422.64,422.64,0,BLK
2017-08-10 19:00:00,423.0,423.0,423.0,423.0,0,BLK
2017-08-11 09:00:00,422.68,422.68,422.68,422.68,0,BLK
2017-08-11 09:30:00,423.07,428.12,423.07,426.57,176910,BLK
2017-08-11 10:30:00,426.61,427.04,424.44,424.44,68948,BLK
2017-08-11 11:30:00,424.39,426.0,424.39,425.31,66200,BLK
2017-08-11 12:30:00,425.13,426.0,424.83,424.83,67565,BLK
2017-08-11 13:30:00,424.82,425.3,424.27,424.77,70482,BLK
2017-08-11 14:30:00,424.74,424.92,423.02,423.74,116764,BLK
2017-08-11 15:30:00,423.74,425.05,422.93,424.03,140597,BLK
2017-08-11 16:00:00,424.16,424.16,424.16,424.16,0,BLK
2017-08-14 16:00:00,428.06,428.06,428.06,428.06,453972,BLK
2017-08-15 09:30:00,429.88,431.12,428.55,429.59,61077,BLK
2017-08-15 10:30:00,429.45,429.5,427.9,428.17,40668,BLK
2017-08-15 11:30:00,428.38,428.48,426.94,427.94,42373,BLK
2017-08-15 12:30:00,427.83,428.07,427.04,428.07,29220,BLK
2017-08-15 13:30:00,428.04,428.65,427.22,428.54,44530,BLK
2017-08-15 14:30:00,428.46,429.37,428.34,429.31,40355,BLK
2017-08-15 15:30:00,429.41,429.68,428.44,428.64,59000,BLK
2017-08-15 16:00:00,428.25,430.43,428.25,428.25,0,BLK
2017-08-15 17:00:00,428.34,428.34,428.3,428.3,0,BLK
2017-08-16 08:00:00,429.0,429.0,429.0,429.0,0,BLK
2017-08-16 09:30:00,431.68,431.77,430.22,431.64,55122,BLK
2017-08-16 10:30:00,431.63,431.63,429.38,429.49,43195,BLK
2017-08-16 11:30:00,429.56,429.78,429.21,429.21,27346,BLK
2017-08-16 12:30:00,428.88,429.2,428.1,428.4,32721,BLK
2017-08-16 13:30:00,428.3,428.91,427.56,427.56,28005,BLK
2017-08-16 14:30:00,427.52,428.07,426.85,427.48,48666,BLK
2017-08-16 15:30:00,427.4,427.83,426.54,427.01,59982,BLK
2017-08-16 16:00:00,427.07,428.74,427.07,427.07,0,BLK
2017-08-17 09:30:00,426.91,428.03,423.54,424.93,54267,BLK
2017-08-17 10:30:00,424.99,427.0,424.82,426.18,42969,BLK
2017-08-17 11:30:00,426.04,426.2,424.6,424.9,39327,BLK
2017-08-17 12:30:00,424.71,424.96,423.33,423.9,33071,BLK
2017-08-17 13:30:00,423.9,424.63,423.29,423.51,35182,BLK
2017-08-17 14:30:00,423.42,423.96,421.81,422.09,69385,BLK
2017-08-17 15:30:00,421.99,422.27,419.78,420.07,117302,BLK
2017-08-17 16:00:00,424.9,424.9,419.89,419.89,0,BLK
2017-08-17 18:00:00,419.94,419.94,419.94,419.94,0,BLK
2017-08-18 09:30:00,418.01,418.64,415.75,415.75,186054,BLK
2017-08-18 10:30:00,415.74,418.71,414.63,417.6,135273,BLK
2017-08-18 11:30:00,418.07,419.62,417.4,417.43,86894,BLK
2017-08-18 12:30:00,417.38,419.54,417.32,418.33,93819,BLK
2017-08-18 13:30:00,418.53,418.67,417.41,417.49,63753,BLK
2017-08-18 14:30:00,417.87,418.08,416.87,417.38,78107,BLK
2017-08-18 15:30:00,417.21,418.02,416.08,416.47,132393,BLK
2017-08-18 16:00:00,416.55,417.4,416.5,416.63,0,BLK
2017-08-18 17:00:00,415.0,417.0,415.0,416.55,0,BLK
2017-08-21 09:30:00,415.26,416.26,411.95,413.07,101859,BLK
2017-08-21 10:30:00,412.84,414.68,412.44,414.46,76668,BLK
2017-08-21 11:30:00,414.26,415.66,413.89,415.66,40845,BLK
2017-08-21 12:30:00,415.57,415.59,414.46,415.27,41769,BLK
2017-08-21 13:30:00,415.39,415.44,414.2,414.89,41756,BLK
2017-08-21 14:30:00,415.14,415.25,414.46,415.24,53666,BLK
