Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:30:00,148.91,148.93,148.34,148.51,0,CB
2017-08-10 10:30:00,148.46,148.66,148.29,148.5,158379,CB
2017-08-10 11:30:00,148.5,149.03,148.49,148.63,112099,CB
2017-08-10 12:30:00,148.65,148.92,148.6,148.72,142142,CB
2017-08-10 13:30:00,148.76,148.85,148.6,148.75,75517,CB
2017-08-10 14:30:00,148.82,148.93,148.5,148.53,129466,CB
2017-08-10 15:30:00,148.65,148.65,148.27,148.31,199730,CB
2017-08-10 16:00:00,148.33,148.63,148.33,148.33,0,CB
2017-08-10 17:00:00,148.31,148.31,148.31,148.31,0,CB
2017-08-11 09:30:00,148.72,148.82,146.95,147.13,303406,CB
2017-08-11 10:30:00,147.17,147.67,146.97,147.55,259233,CB
2017-08-11 11:30:00,147.55,147.56,146.9,146.94,213929,CB
2017-08-11 12:30:00,146.96,146.97,146.36,146.56,319857,CB
2017-08-11 13:30:00,146.59,146.87,146.34,146.69,286469,CB
2017-08-11 14:30:00,146.69,146.7,146.37,146.4,256717,CB
2017-08-11 15:30:00,146.39,146.79,146.3,146.48,386267,CB
2017-08-11 16:00:00,146.44,149.72,146.44,149.72,0,CB
2017-08-11 19:00:00,135.0,136.75,135.0,135.29,0,CB
2017-08-14 09:30:00,147.02,147.86,146.75,147.56,217639,CB
2017-08-14 10:30:00,147.57,147.9,147.48,147.9,101303,CB
2017-08-14 11:30:00,147.94,147.94,147.49,147.5,88613,CB
2017-08-14 12:30:00,147.53,147.65,147.46,147.63,88291,CB
2017-08-14 13:30:00,147.62,147.71,147.2,147.45,115723,CB
2017-08-14 14:30:00,147.44,147.45,147.17,147.37,129512,CB
2017-08-14 15:30:00,147.37,147.43,147.25,147.34,229475,CB
2017-08-14 16:00:00,147.4,147.44,147.4,147.4,0,CB
2017-08-15 09:30:00,147.93,148.71,147.79,148.0,145662,CB
2017-08-15 10:30:00,147.95,148.2,147.85,148.11,83288,CB
2017-08-15 11:30:00,148.07,148.14,147.74,147.81,80196,CB
2017-08-15 12:30:00,147.8,147.9,147.74,147.78,53173,CB
2017-08-15 13:30:00,147.85,148.11,147.81,148.08,58466,CB
2017-08-15 14:30:00,148.1,148.29,148.02,148.22,103514,CB
2017-08-15 15:30:00,148.23,148.23,147.95,147.97,151494,CB
2017-08-15 16:00:00,147.97,148.07,147.87,147.97,0,CB
2017-08-15 17:00:00,148.0,148.0,147.99,147.99,0,CB
2017-08-16 09:30:00,148.17,148.94,148.17,148.54,75946,CB
2017-08-16 10:30:00,148.49,148.61,148.19,148.22,63144,CB
2017-08-16 11:30:00,148.26,148.47,148.18,148.47,127999,CB
2017-08-16 12:30:00,148.41,148.42,148.09,148.23,148326,CB
2017-08-16 13:30:00,148.22,148.52,148.11,148.2,115858,CB
2017-08-16 14:30:00,148.2,148.28,147.95,148.19,109938,CB
2017-08-16 15:30:00,148.19,148.2,147.95,148.02,115909,CB
2017-08-16 16:00:00,148.02,148.25,148.02,148.02,0,CB
2017-08-17 09:30:00,147.92,147.99,147.31,147.34,88223,CB
2017-08-17 10:30:00,147.51,147.63,147.17,147.4,63228,CB
2017-08-17 11:30:00,147.35,147.37,146.95,147.01,78460,CB
2017-08-17 12:30:00,146.98,146.98,146.74,146.88,85060,CB
2017-08-17 13:30:00,146.88,147.09,146.67,146.88,93324,CB
2017-08-17 14:30:00,146.91,146.91,146.48,146.51,119201,CB
2017-08-17 15:30:00,146.51,146.56,145.9,145.97,215882,CB
2017-08-17 16:00:00,145.95,146.94,145.93,145.93,0,CB
2017-08-17 18:00:00,145.95,145.95,145.95,145.95,0,CB
2017-08-18 09:30:00,145.69,145.98,145.27,145.86,290688,CB
2017-08-18 10:30:00,145.79,145.94,145.5,145.84,98307,CB
2017-08-18 11:30:00,145.9,146.04,145.79,146.04,67099,CB
2017-08-18 12:30:00,146.06,146.33,146.01,146.16,63209,CB
2017-08-18 13:30:00,146.11,146.22,145.91,146.01,79351,CB
2017-08-18 14:30:00,146.05,146.1,145.62,145.62,103426,CB
2017-08-18 15:30:00,145.62,145.77,145.42,145.43,155377,CB
2017-08-18 16:00:00,145.44,145.79,145.42,145.47,0,CB
2017-08-21 09:30:00,145.6,145.71,144.78,145.1,161234,CB
2017-08-21 10:30:00,145.03,145.27,144.93,145.15,117639,CB
2017-08-21 11:30:00,145.17,145.33,145.02,145.3,91577,CB
2017-08-21 12:30:00,145.28,145.44,145.14,145.21,143647,CB
2017-08-21 13:30:00,145.2,145.34,145.11,145.3,169638,CB
2017-08-21 14:30:00,145.3,145.39,145.06,145.39,144966,CB
2017-08-21 15:30:00,145.42,145.52,145.29,145.33,220585,CB
2017-08-21 16:00:00,145.33,145.36,145.25,145.33,0,CB
2017-08-21 18:00:00,145.33,145.33,145.33,145.33,0,CB
2017-08-22 09:30:00,145.28,145.5,144.86,145.3,120275,CB
2017-08-22 10:30:00,145.3,145.38,145.2,145.2,81211,CB
2017-08-22 11:30:00,145.26,145.35,145.17,145.19,83754,CB
2017-08-22 12:30:00,145.17,145.19,144.98,145.08,67498,CB
2017-08-22 13:30:00,145.12,145.13,144.91,145.07,125816,CB
2017-08-22 14:30:00,145.05,145.36,145.05,145.25,157150,CB
2017-08-22 15:30:00,145.28,145.41,145.28,145.37,258491,CB
2017-08-22 16:00:00,145.31,145.34,145.25,145.31,0,CB
2017-08-22 17:00:00,145.34,145.34,145.34,145.34,0,CB
2017-08-23 09:00:00,145.31,145.31,145.31,145.31,0,CB
2017-08-23 09:30:00,144.78,145.27,144.68,144.96,110912,CB
2017-08-23 10:30:00,144.96,144.96,144.64,144.82,126546,CB
2017-08-23 11:30:00,144.82,144.84,144.37,144.37,156136,CB
2017-08-23 12:30:00,144.38,144.4,144.0,144.01,188477,CB
2017-08-23 13:30:00,144.01,144.28,143.94,144.16,81726,CB
2017-08-23 14:30:00,144.21,144.43,144.11,144.39,93991,CB
2017-08-23 15:30:00,144.38,144.41,144.23,144.23,144447,CB
2017-08-23 16:00:00,144.24,144.44,144.24,144.24,0,CB
2017-08-24 08:00:00,144.24,144.24,144.24,144.24,0,CB
2017-08-24 09:30:00,144.44,144.44,143.28,143.37,99710,CB
2017-08-24 10:30:00,143.36,143.6,142.89,142.94,167199,CB
2017-08-24 11:30:00,142.97,143.48,142.75,143.31,199379,CB
2017-08-24 12:30:00,143.35,143.6,143.19,143.59,107574,CB
2017-08-24 13:30:00,143.6,143.6,142.82,142.85,245937,CB
2017-08-24 14:30:00,142.85,143.25,142.77,142.96,309483,CB
2017-08-24 15:30:00,142.97,143.04,142.62,142.75,282947,CB
2017-08-24 16:00:00,142.76,143.13,142.71,142.77,0,CB
2017-08-25 09:30:00,142.8,143.6,142.69,143.11,177179,CB
2017-08-25 10:30:00,143.14,143.28,142.72,142.72,213388,CB
2017-08-25 11:30:00,142.74,143.18,142.65,143.07,185961,CB
2017-08-25 12:30:00,143.07,143.56,143.05,143.56,87533,CB
2017-08-25 13:30:00,143.58,143.77,143.44,143.68,113922,CB
2017-08-25 14:30:00,143.66,144.09,143.6,144.04,207163,CB
2017-08-25 15:30:00,144.03,144.03,143.6,143.63,241882,CB
2017-08-25 16:00:00,143.63,143.65,143.38,143.65,0,CB
2017-08-28 09:00:00,143.25,143.25,143.25,143.25,0,CB
2017-08-28 09:30:00,143.08,143.2,140.59,141.62,474977,CB
2017-08-28 10:30:00,141.58,142.01,141.53,141.6,153375,CB
2017-08-28 11:30:00,141.64,141.94,141.55,141.91,116086,CB
2017-08-28 12:30:00,141.99,142.08,141.85,141.88,74644,CB
2017-08-28 13:30:00,141.89,141.89,141.6,141.73,109430,CB
2017-08-28 14:30:00,141.71,141.86,141.45,141.57,211584,CB
2017-08-28 15:30:00,141.58,141.81,141.58,141.77,222147,CB
2017-08-28 16:00:00,141.78,141.78,141.66,141.78,0,CB
2017-08-29 09:30:00,141.07,142.35,141.0,141.96,246777,CB
2017-08-29 10:30:00,142.12,142.23,141.94,142.0,175449,CB
2017-08-29 11:30:00,141.95,142.04,141.62,141.85,121968,CB
2017-08-29 12:30:00,141.84,142.12,141.8,142.12,95926,CB
2017-08-29 13:30:00,142.09,142.09,141.77,141.8,103553,CB
2017-08-29 14:30:00,141.86,141.92,141.68,141.88,160047,CB
2017-08-29 15:30:00,141.84,141.91,141.69,141.83,178855,CB
2017-08-29 16:00:00,141.89,141.89,141.89,141.89,0,CB
2017-08-30 09:30:00,142.04,142.18,141.52,141.86,146569,CB
2017-08-30 10:30:00,141.82,142.32,141.81,142.25,260184,CB
2017-08-30 11:30:00,142.27,142.31,141.81,141.88,116248,CB
2017-08-30 12:30:00,141.85,142.04,141.8,142.02,67485,CB
2017-08-30 13:30:00,141.99,142.12,141.74,141.76,75625,CB
2017-08-30 14:30:00,141.76,141.79,141.48,141.51,186147,CB
2017-08-30 15:30:00,141.53,141.53,141.13,141.13,252169,CB
2017-08-30 16:00:00,141.16,141.16,141.16,141.16,0,CB
2017-08-30 17:00:00,141.18,141.18,141.18,141.18,0,CB
2017-08-31 09:30:00,141.61,141.68,141.18,141.21,158297,CB
2017-08-31 10:30:00,141.24,141.27,140.86,141.07,147055,CB
2017-08-31 11:30:00,141.02,141.1,140.83,141.01,177453,CB
