Date,Open,High,Low,Close,Volume,Name
2017-08-10 04:00:00,116.41,116.41,116.41,116.41,0.0,DD
2017-08-10 08:00:00,115.75,115.75,115.75,115.75,0.0,DD
2017-08-10 09:00:00,116.57,116.57,115.64,115.64,0.0,DD
2017-08-10 09:30:00,115.2,115.44,114.46,114.75,397413.0,DD
2017-08-10 10:30:00,114.77,115.13,114.56,114.83,245520.0,DD
2017-08-10 11:30:00,114.84,114.84,114.05,114.15,337067.0,DD
2017-08-10 12:30:00,114.15,114.37,114.05,114.37,278277.0,DD
2017-08-10 13:30:00,114.37,114.89,114.29,114.82,162586.0,DD
2017-08-10 14:30:00,114.82,115.07,114.74,114.96,270904.0,DD
2017-08-10 15:30:00,114.97,115.09,114.84,115.06,443768.0,DD
2017-08-10 16:00:00,115.01,115.01,115.01,115.01,0.0,DD
2017-08-10 19:00:00,113.86,113.86,113.86,113.86,0.0,DD
2017-08-11 08:00:00,115.07,115.07,114.86,114.86,0.0,DD
2017-08-11 09:30:00,115.0,115.6,114.97,115.14,384912.0,DD
2017-08-11 10:30:00,115.17,115.6,115.07,115.16,300085.0,DD
2017-08-11 11:30:00,115.24,115.47,115.1,115.29,201561.0,DD
2017-08-11 12:30:00,115.28,115.6,115.26,115.36,214815.0,DD
2017-08-11 13:30:00,115.34,115.54,115.11,115.11,121816.0,DD
2017-08-11 14:30:00,115.13,115.54,114.99,115.33,235907.0,DD
2017-08-11 15:30:00,115.33,115.64,115.1,115.26,341317.0,DD
2017-08-11 16:00:00,115.24,115.24,115.24,115.24,0.0,DD
2017-08-11 17:00:00,115.14,115.14,115.14,115.14,0.0,DD
2017-08-14 07:00:00,116.0,116.0,116.0,116.0,0.0,DD
2017-08-14 09:00:00,115.51,115.51,115.47,115.47,0.0,DD
2017-08-14 09:30:00,115.71,116.34,115.38,115.77,354380.0,DD
2017-08-14 10:30:00,115.84,116.01,115.54,115.84,146667.0,DD
2017-08-14 11:30:00,115.83,115.88,115.68,115.71,129985.0,DD
2017-08-14 12:30:00,115.73,115.87,115.5,115.61,133741.0,DD
2017-08-14 13:30:00,115.6,115.73,115.43,115.56,79100.0,DD
2017-08-14 14:30:00,115.55,115.7,115.3,115.53,120305.0,DD
2017-08-14 15:30:00,115.54,115.68,115.48,115.5,196003.0,DD
2017-08-14 16:00:00,115.5,115.5,115.37,115.5,0.0,DD
2017-08-14 19:00:00,116.28,116.28,116.28,116.28,0.0,DD
2017-08-15 09:30:00,115.63,115.91,115.57,115.62,357447.0,DD
2017-08-15 10:30:00,115.54,115.71,115.54,115.68,180199.0,DD
2017-08-15 11:30:00,115.71,115.87,115.63,115.82,168314.0,DD
2017-08-15 12:30:00,115.8,115.81,115.3,115.38,257603.0,DD
2017-08-15 13:30:00,115.37,115.9,115.36,115.75,230925.0,DD
2017-08-15 14:30:00,115.74,116.22,115.54,116.11,321282.0,DD
2017-08-15 15:30:00,116.08,116.21,116.0,116.07,250053.0,DD
2017-08-15 16:00:00,116.11,116.11,116.11,116.11,0.0,DD
2017-08-15 17:00:00,116.13,116.13,116.13,116.13,0.0,DD
2017-08-16 09:30:00,116.48,116.71,116.31,116.47,198224.0,DD
2017-08-16 10:30:00,116.48,116.48,115.88,115.9,141369.0,DD
2017-08-16 11:30:00,115.93,116.22,115.93,116.05,196379.0,DD
2017-08-16 12:30:00,116.07,116.27,116.0,116.12,182992.0,DD
2017-08-16 13:30:00,116.1,116.64,116.0,116.35,299073.0,DD
2017-08-16 14:30:00,116.3,116.44,116.18,116.37,171272.0,DD
2017-08-16 15:30:00,116.37,116.72,116.32,116.69,797797.0,DD
2017-08-16 16:00:00,116.72,117.18,116.29,116.72,0.0,DD
2017-08-17 08:00:00,116.71,116.71,116.71,116.71,0.0,DD
2017-08-17 09:30:00,116.22,116.63,116.15,116.32,483858.0,DD
2017-08-17 10:30:00,116.35,116.55,116.15,116.3,454399.0,DD
2017-08-17 11:30:00,116.24,116.32,116.08,116.22,334501.0,DD
2017-08-17 12:30:00,116.21,116.23,115.78,115.81,334895.0,DD
2017-08-17 13:30:00,115.81,115.98,115.65,115.87,188340.0,DD
2017-08-17 14:30:00,115.85,115.85,115.34,115.34,231896.0,DD
2017-08-17 15:30:00,115.36,115.5,115.14,115.19,422430.0,DD
2017-08-17 16:00:00,115.09,116.08,115.09,116.08,0.0,DD
2017-08-17 18:00:00,115.09,115.09,115.09,115.09,0.0,DD
2017-08-18 04:00:00,113.96,113.96,113.96,113.96,0.0,DD
2017-08-18 08:00:00,115.0,115.0,114.99,114.99,0.0,DD
2017-08-18 09:30:00,115.07,115.43,114.66,114.72,554082.0,DD
2017-08-18 10:30:00,114.64,115.47,114.57,115.47,303346.0,DD
2017-08-18 11:30:00,115.4,115.68,115.27,115.44,162230.0,DD
2017-08-18 12:30:00,115.44,115.88,115.37,115.47,229963.0,DD
2017-08-18 13:30:00,115.49,115.61,115.19,115.53,133102.0,DD
2017-08-18 14:30:00,115.53,115.6,115.36,115.41,141220.0,DD
2017-08-18 15:30:00,115.41,115.75,115.39,115.56,260878.0,DD
2017-08-18 16:00:00,115.54,115.56,115.54,115.56,0.0,DD
2017-08-21 08:00:00,115.28,115.28,115.28,115.28,0.0,DD
2017-08-21 09:30:00,115.53,115.95,115.13,115.88,246760.0,DD
2017-08-21 10:30:00,115.88,116.2,115.73,116.03,170745.0,DD
2017-08-21 11:30:00,115.97,116.38,115.87,116.35,179376.0,DD
2017-08-21 12:30:00,116.39,116.39,116.08,116.17,109928.0,DD
2017-08-21 13:30:00,116.17,116.34,116.08,116.17,143212.0,DD
2017-08-21 14:30:00,116.15,116.54,116.1,116.53,183919.0,DD
2017-08-21 15:30:00,116.55,116.58,116.35,116.49,261452.0,DD
2017-08-21 16:00:00,116.47,116.49,115.54,116.47,0.0,DD
2017-08-21 17:00:00,116.47,116.47,116.47,116.47,0.0,DD
2017-08-22 09:30:00,116.83,117.76,116.78,117.63,236932.0,DD
2017-08-22 10:30:00,117.62,117.86,117.43,117.68,153857.0,DD
2017-08-22 11:30:00,117.7,117.95,117.65,117.79,209011.0,DD
2017-08-22 12:30:00,117.76,117.85,117.63,117.69,140992.0,DD
2017-08-22 13:30:00,117.7,118.06,117.65,118.05,183315.0,DD
2017-08-22 14:30:00,118.06,118.34,117.89,118.18,275082.0,DD
2017-08-22 15:30:00,118.19,118.27,118.08,118.16,273055.0,DD
2017-08-22 16:00:00,118.15,118.15,118.15,118.15,0.0,DD
2017-08-22 17:00:00,118.17,118.17,118.17,118.17,0.0,DD
2017-08-23 04:00:00,116.79,116.79,116.79,116.79,0.0,DD
2017-08-23 09:00:00,117.85,118.25,117.85,118.25,0.0,DD
2017-08-23 09:30:00,117.79,118.69,117.79,118.46,269844.0,DD
2017-08-23 10:30:00,118.53,118.79,118.36,118.79,185997.0,DD
2017-08-23 11:30:00,118.74,118.74,118.25,118.5,540850.0,DD
2017-08-23 12:30:00,118.47,118.56,117.96,118.13,314097.0,DD
2017-08-23 13:30:00,118.1,118.13,117.62,117.65,296862.0,DD
2017-08-23 14:30:00,117.62,117.82,117.56,117.73,366224.0,DD
2017-08-23 15:30:00,117.74,117.9,117.61,117.83,469866.0,DD
2017-08-23 16:00:00,117.79,118.46,117.79,117.79,0.0,DD
2017-08-24 08:00:00,117.79,117.79,117.79,117.79,0.0,DD
2017-08-24 09:30:00,117.85,118.0,117.26,117.68,185777.0,DD
2017-08-24 10:30:00,117.68,117.68,117.39,117.6,231212.0,DD
2017-08-24 11:30:00,117.59,117.72,117.38,117.66,147209.0,DD
2017-08-24 12:30:00,117.67,117.86,117.53,117.78,280256.0,DD
2017-08-24 13:30:00,117.78,117.85,117.59,117.68,248728.0,DD
2017-08-24 14:30:00,117.66,117.66,117.33,117.53,384209.0,DD
2017-08-24 15:30:00,117.57,117.59,117.22,117.26,298291.0,DD
2017-08-24 16:00:00,117.26,117.28,117.26,117.28,0.0,DD
2017-08-25 09:00:00,116.85,117.38,116.85,117.36,0.0,DD
2017-08-25 09:30:00,117.69,117.69,117.25,117.42,184741.0,DD
2017-08-25 10:30:00,117.42,117.55,117.18,117.48,200742.0,DD
2017-08-25 11:30:00,117.49,117.92,117.45,117.7,153227.0,DD
2017-08-25 12:30:00,117.71,117.92,117.6,117.68,127097.0,DD
2017-08-25 13:30:00,117.68,117.89,117.62,117.85,127302.0,DD
2017-08-25 14:30:00,117.88,118.0,117.8,117.93,131644.0,DD
2017-08-25 15:30:00,117.93,117.95,117.65,117.68,312673.0,DD
2017-08-25 16:00:00,117.65,117.88,117.26,117.26,0.0,DD
2017-08-25 17:00:00,117.42,117.42,117.42,117.42,0.0,DD
2017-08-28 04:00:00,117.65,117.65,117.65,117.65,0.0,DD
2017-08-28 08:00:00,118.25,118.25,118.25,118.25,0.0,DD
2017-08-28 09:30:00,117.9,118.15,117.19,117.22,195990.0,DD
2017-08-28 10:30:00,117.21,117.68,117.19,117.66,180587.0,DD
2017-08-28 11:30:00,117.63,117.77,117.53,117.59,142749.0,DD
2017-08-28 12:30:00,117.59,117.59,117.39,117.46,122587.0,DD
2017-08-28 13:30:00,117.45,117.53,117.28,117.47,182707.0,DD
2017-08-28 14:30:00,117.47,117.88,117.47,117.76,156345.0,DD
2017-08-28 15:30:00,117.75,117.96,117.63,117.96,206865.0,DD
2017-08-28 16:00:00,117.96,117.96,117.96,117.96,0.0,DD
2017-08-29 05:00:00,117.83,117.83,117.83,117.83,0.0,DD
2017-08-29 09:00:00,117.41,117.41,117.41,117.41,0.0,DD
2017-08-29 09:30:00,117.43,117.46,116.89,117.18,249975.0,DD
2017-08-29 10:30:00,117.18,117.48,117.18,117.28,137174.0,DD
2017-08-29 11:30:00,117.29,117.29,117.06,117.23,89772.0,DD
2017-08-29 12:30:00,117.24,117.32,117.01,117.08,158840.0,DD
2017-08-29 13:30:00,117.08,117.19,116.85,116.97,193248.0,DD
2017-08-29 14:30:00,116.97,117.16,116.97,117.02,281970.0,DD
2017-08-29 15:30:00,117.02,117.24,117.01,117.05,441357.0,DD
2017-08-29 16:00:00,117.05,117.25,117.02,117.05,0.0,DD
2017-08-30 09:00:00,117.02,117.02,116.22,116.24,0.0,DD
2017-08-30 09:30:00,116.47,117.6,116.24,117.48,348681.0,DD
2017-08-30 10:30:00,117.43,117.7,117.31,117.49,181083.0,DD
2017-08-30 11:30:00,117.49,117.79,117.36,117.79,181070.0,DD
2017-08-30 12:30:00,117.81,118.23,117.8,118.16,148314.0,DD
2017-08-30 13:30:00,118.16,118.32,118.13,118.29,129694.0,DD
2017-08-30 14:30:00,118.29,118.52,118.27,118.37,194535.0,DD
2017-08-30 15:30:00,118.36,118.47,118.12,118.4,293553.0,DD
2017-08-30 16:00:00,118.4,120.55,117.81,120.55,0.0,DD
2017-08-30 17:00:00,118.29,118.29,118.29,118.29,0.0,DD
2017-08-31 08:00:00,118.4,118.4,118.4,118.4,0.0,DD
2017-08-31 09:00:00,118.84,118.84,118.84,118.84,0.0,DD
