Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:00:00,23.43,23.6,23.43,23.6,0,DISCA
2017-08-10 09:30:00,23.54,23.61,23.27,23.41,531959,DISCA
2017-08-10 10:30:00,23.43,23.43,23.14,23.16,422654,DISCA
2017-08-10 11:30:00,23.18,23.22,23.08,23.19,395734,DISCA
2017-08-10 12:30:00,23.19,23.19,23.01,23.06,480993,DISCA
2017-08-10 13:30:00,23.08,23.12,23.02,23.06,379465,DISCA
2017-08-10 14:30:00,23.05,23.1,22.94,22.95,610821,DISCA
2017-08-10 15:30:00,22.95,23.03,22.87,23.0,815509,DISCA
2017-08-10 16:00:00,23.0,23.12,22.77,22.77,0,DISCA
2017-08-10 17:00:00,23.0,23.0,23.0,23.0,0,DISCA
2017-08-11 09:00:00,23.12,23.12,23.0,23.04,0,DISCA
2017-08-11 09:30:00,23.03,23.14,22.83,23.07,506286,DISCA
2017-08-11 10:30:00,23.06,23.07,22.86,22.86,297731,DISCA
2017-08-11 11:30:00,22.86,22.99,22.83,22.92,447341,DISCA
2017-08-11 12:30:00,22.92,23.02,22.9,22.92,492004,DISCA
2017-08-11 13:30:00,22.92,23.0,22.91,22.93,336647,DISCA
2017-08-11 14:30:00,22.93,23.02,22.9,22.96,321592,DISCA
2017-08-11 15:30:00,22.96,22.96,22.88,22.91,755972,DISCA
2017-08-11 16:00:00,22.91,22.91,22.91,22.91,0,DISCA
2017-08-14 09:00:00,23.11,23.12,23.11,23.11,0,DISCA
2017-08-14 09:30:00,23.0,23.25,22.95,23.17,551586,DISCA
2017-08-14 10:30:00,23.16,23.24,23.12,23.22,368313,DISCA
2017-08-14 11:30:00,23.22,23.28,23.19,23.19,234142,DISCA
2017-08-14 12:30:00,23.17,23.18,22.99,23.0,326932,DISCA
2017-08-14 13:30:00,23.02,23.05,22.91,22.95,938678,DISCA
2017-08-14 14:30:00,22.95,22.95,22.86,22.93,399259,DISCA
2017-08-14 15:30:00,22.93,22.95,22.87,22.89,702219,DISCA
2017-08-14 16:00:00,22.9,22.9,22.89,22.9,0,DISCA
2017-08-15 09:30:00,22.84,23.0,22.73,22.91,340434,DISCA
2017-08-15 10:30:00,22.91,22.97,22.85,22.93,212942,DISCA
2017-08-15 11:30:00,22.94,22.95,22.88,22.9,204413,DISCA
2017-08-15 12:30:00,22.9,22.9,22.83,22.83,217295,DISCA
2017-08-15 13:30:00,22.84,22.88,22.82,22.87,234092,DISCA
2017-08-15 14:30:00,22.86,22.87,22.8,22.8,232635,DISCA
2017-08-15 15:30:00,22.81,22.83,22.73,22.76,611861,DISCA
2017-08-15 16:00:00,22.76,22.9,22.73,22.84,0,DISCA
2017-08-15 17:00:00,22.76,22.76,22.76,22.76,0,DISCA
2017-08-16 09:00:00,22.99,22.99,22.91,22.95,0,DISCA
2017-08-16 09:30:00,22.92,23.08,22.69,22.91,661187,DISCA
2017-08-16 10:30:00,22.91,22.96,22.8,22.83,363044,DISCA
2017-08-16 11:30:00,22.83,22.91,22.73,22.74,381849,DISCA
2017-08-16 12:30:00,22.73,22.74,22.57,22.67,517898,DISCA
2017-08-16 13:30:00,22.66,22.76,22.54,22.57,513547,DISCA
2017-08-16 14:30:00,22.55,22.64,22.51,22.64,495083,DISCA
2017-08-16 15:30:00,22.65,22.66,22.53,22.62,840838,DISCA
2017-08-16 16:00:00,22.6,22.69,22.6,22.6,0,DISCA
