Date,Open,High,Low,Close,Volume,Name
2017-08-10 08:00:00,14.55,14.58,14.55,14.58,0,FCX
2017-08-10 09:00:00,14.6,14.6,14.45,14.46,0,FCX
2017-08-10 09:30:00,14.46,14.58,14.29,14.44,4396644,FCX
2017-08-10 10:30:00,14.47,14.57,14.42,14.48,2091168,FCX
2017-08-10 11:30:00,14.49,14.51,14.32,14.35,2132434,FCX
2017-08-10 12:30:00,14.35,14.41,14.25,14.33,2339418,FCX
2017-08-10 13:30:00,14.33,14.34,14.21,14.25,1590838,FCX
2017-08-10 14:30:00,14.25,14.28,14.16,14.2,1745218,FCX
2017-08-10 15:30:00,14.2,14.21,14.12,14.16,2195917,FCX
2017-08-10 16:00:00,14.15,14.49,14.1,14.1,0,FCX
2017-08-10 17:00:00,14.1,14.1,14.0,14.08,0,FCX
2017-08-10 18:00:00,14.04,14.06,14.0,14.0,0,FCX
2017-08-10 19:00:00,14.05,14.1,14.05,14.05,0,FCX
2017-08-11 04:00:00,14.01,14.01,14.0,14.0,0,FCX
2017-08-11 06:00:00,13.97,13.97,13.89,13.89,0,FCX
2017-08-11 08:00:00,13.95,13.95,13.9,13.92,0,FCX
2017-08-11 09:00:00,13.9,14.1,13.86,14.0,0,FCX
2017-08-11 09:30:00,13.99,14.09,13.82,14.01,4366871,FCX
2017-08-11 10:30:00,14.01,14.01,13.88,13.91,2939848,FCX
2017-08-11 11:30:00,13.91,14.04,13.89,14.04,1893280,FCX
2017-08-11 12:30:00,14.03,14.05,13.96,13.98,2329460,FCX
2017-08-11 13:30:00,13.98,14.02,13.93,13.95,1525074,FCX
2017-08-11 14:30:00,13.95,13.97,13.86,13.91,2575059,FCX
2017-08-11 15:30:00,13.91,14.0,13.9,13.94,3238711,FCX
2017-08-11 16:00:00,13.96,13.98,13.92,13.94,0,FCX
2017-08-11 17:00:00,13.96,13.98,13.88,13.92,0,FCX
2017-08-11 18:00:00,14.0,14.0,13.9,13.9,0,FCX
2017-08-14 08:00:00,14.01,14.2,14.01,14.2,0,FCX
2017-08-14 09:00:00,14.1,14.15,14.1,14.11,0,FCX
2017-08-14 09:30:00,14.08,14.14,14.0,14.08,2117806,FCX
2017-08-14 10:30:00,14.07,14.23,14.07,14.11,2348434,FCX
2017-08-14 11:30:00,14.11,14.15,14.07,14.12,1845101,FCX
2017-08-14 12:30:00,14.12,14.14,14.08,14.09,980054,FCX
2017-08-14 13:30:00,14.08,14.14,14.07,14.12,1414653,FCX
2017-08-14 14:30:00,14.12,14.19,14.1,14.18,1580124,FCX
2017-08-14 15:30:00,14.18,14.19,14.12,14.15,2923182,FCX
2017-08-14 16:00:00,14.15,14.2,14.11,14.2,0,FCX
2017-08-14 17:00:00,14.1,14.15,14.1,14.15,0,FCX
2017-08-14 18:00:00,14.15,14.15,14.15,14.15,0,FCX
2017-08-15 08:00:00,14.26,14.3,14.26,14.26,0,FCX
2017-08-15 09:00:00,14.15,14.15,14.04,14.04,0,FCX
2017-08-15 09:30:00,14.03,14.23,13.98,14.19,2816762,FCX
