Date,Open,High,Low,Close,Volume,Name
2019-03-13 09:30:00,50.82,50.84,50.63,50.77,0,FOX
2019-03-13 10:30:00,50.79,50.83,50.72,50.75,592856,FOX
2019-03-13 11:30:00,50.75,50.78,50.71,50.75,620069,FOX
2019-03-13 12:30:00,50.74,50.78,50.7,50.77,1097376,FOX
2019-03-13 13:30:00,50.77,50.89,50.77,50.88,972002,FOX
2019-03-13 14:30:00,50.88,51.0,50.88,50.99,1740661,FOX
2019-03-13 15:30:00,51.0,51.09,50.95,51.08,1129683,FOX
2019-03-13 16:00:00,51.06,51.06,51.06,51.06,4122543,FOX
2019-03-14 08:00:00,51.76,51.76,51.76,51.76,0,FOX
2019-03-14 09:00:00,51.05,51.25,51.04,51.25,0,FOX
2019-03-14 09:30:00,51.03,51.31,50.85,51.29,768531,FOX
2019-03-14 10:30:00,51.3,51.54,51.3,51.49,1206575,FOX
2019-03-14 11:30:00,51.48,51.69,51.46,51.61,1063616,FOX
2019-03-14 12:30:00,51.59,51.6,51.38,51.41,875564,FOX
2019-03-14 13:30:00,51.41,51.5,51.41,51.44,416226,FOX
2019-03-14 14:30:00,51.43,51.43,51.25,51.27,953539,FOX
2019-03-14 15:30:00,51.25,51.36,51.22,51.3,3099548,FOX
2019-03-14 16:00:00,51.32,51.32,51.32,51.32,0,FOX
2019-03-14 17:00:00,51.3,51.3,51.3,51.3,0,FOX
2019-03-14 18:00:00,51.3,51.3,51.3,51.3,0,FOX
2019-03-15 09:30:00,51.72,51.72,51.49,51.64,1279711,FOX
2019-03-15 10:30:00,51.65,51.65,51.49,51.56,607737,FOX
2019-03-15 11:30:00,51.55,51.7,51.52,51.68,476381,FOX
2019-03-15 12:30:00,51.69,51.79,51.69,51.7,382049,FOX
2019-03-15 13:30:00,51.7,51.72,51.68,51.72,236929,FOX
2019-03-15 14:30:00,51.72,51.72,51.58,51.59,223625,FOX
2019-03-15 15:30:00,51.58,51.79,51.57,51.7,2604708,FOX
2019-03-15 16:00:00,51.72,51.72,51.72,51.72,0,FOX
2019-03-18 08:00:00,51.72,51.72,51.72,51.72,0,FOX
2019-03-18 09:00:00,50.65,51.34,50.65,51.29,0,FOX
2019-03-18 09:30:00,51.4,51.52,51.2,51.21,578610,FOX
2019-03-18 10:30:00,51.22,51.27,51.04,51.14,339023,FOX
2019-03-18 11:30:00,51.14,51.35,51.13,51.35,237609,FOX
2019-03-18 12:30:00,51.35,51.39,51.26,51.27,295150,FOX
2019-03-18 13:30:00,51.26,51.26,51.1,51.11,348561,FOX
2019-03-18 14:30:00,51.11,51.16,51.08,51.11,300029,FOX
2019-03-18 15:30:00,51.12,51.22,50.95,51.06,1115559,FOX
2019-03-18 16:00:00,51.04,51.18,51.04,51.18,0,FOX
2019-03-18 19:00:00,51.1,51.1,51.1,51.1,0,FOX
2019-03-19 08:00:00,41.38,41.38,41.38,41.38,0,FOX
2019-03-19 09:00:00,41.35,42.35,41.35,41.45,0,FOX
2019-03-19 09:30:00,41.28,41.28,39.25,39.59,340483,FOX
2019-03-19 10:30:00,39.57,39.68,39.32,39.4,191164,FOX
2019-03-19 11:30:00,39.37,39.42,39.18,39.22,212774,FOX
2019-03-19 12:30:00,39.22,39.49,39.18,39.22,132401,FOX
2019-03-19 13:30:00,39.25,39.28,39.15,39.2,170285,FOX
2019-03-19 14:30:00,39.19,39.29,39.05,39.2,308799,FOX
2019-03-19 15:30:00,39.24,39.66,39.07,39.57,543788,FOX
2019-03-19 16:00:00,39.5,39.57,39.29,39.55,0,FOX
2019-03-19 17:00:00,39.55,39.55,39.55,39.55,0,FOX
2019-03-19 18:00:00,39.55,39.55,39.55,39.55,0,FOX
2019-03-19 19:00:00,39.55,39.55,39.55,39.55,0,FOX
2019-03-20 08:00:00,39.55,39.55,39.55,39.55,0,FOX
2019-03-20 09:00:00,39.6,39.83,39.55,39.83,0,FOX
2019-03-20 09:30:00,39.85,39.85,38.31,38.75,946839,FOX
2019-03-20 10:30:00,38.75,38.8,38.58,38.58,321555,FOX
2019-03-20 11:30:00,38.58,38.6,38.2,38.24,393767,FOX
2019-03-20 12:30:00,38.24,38.26,37.49,37.67,494803,FOX
2019-03-20 13:30:00,37.68,38.28,37.68,37.81,597035,FOX
2019-03-20 14:30:00,37.81,37.82,37.47,37.63,392188,FOX
2019-03-20 15:30:00,37.64,37.81,37.56,37.63,1990636,FOX
2019-03-20 16:00:00,37.6,37.6,37.6,37.6,0,FOX
2019-03-20 17:00:00,37.6,37.6,37.6,37.6,0,FOX
2019-03-20 18:00:00,37.6,37.6,37.6,37.6,0,FOX
2019-03-20 19:00:00,38.0,38.0,38.0,38.0,0,FOX
2019-03-21 07:00:00,38.0,38.0,38.0,38.0,0,FOX
2019-03-21 08:00:00,37.6,37.6,37.6,37.6,0,FOX
2019-03-21 09:00:00,37.98,38.7,37.98,38.0,0,FOX
2019-03-21 09:30:00,38.04,38.49,37.87,38.39,1275842,FOX
2019-03-21 10:30:00,38.39,38.5,38.18,38.19,1335319,FOX
2019-03-21 11:30:00,38.15,38.44,38.15,38.4,265664,FOX
2019-03-21 12:30:00,38.4,38.47,38.4,38.46,319349,FOX
2019-03-21 13:30:00,38.45,38.46,38.18,38.3,430357,FOX
