Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:30:00,99.81,99.88,98.95,98.95,0,FRC
2017-08-10 10:30:00,98.97,98.97,98.25,98.36,59865,FRC
2017-08-10 11:30:00,98.43,98.72,98.39,98.39,38507,FRC
2017-08-10 12:30:00,98.41,98.79,98.35,98.76,37367,FRC
2017-08-10 13:30:00,98.67,98.81,98.41,98.57,48074,FRC
2017-08-10 14:30:00,98.58,98.66,98.22,98.23,71930,FRC
2017-08-10 15:30:00,98.27,98.32,97.77,97.8,102203,FRC
2017-08-10 16:00:00,97.82,97.82,97.82,97.82,0,FRC
2017-08-10 17:00:00,97.8,97.8,97.8,97.8,0,FRC
2017-08-11 07:00:00,97.44,97.44,97.44,97.44,0,FRC
2017-08-11 09:00:00,97.43,97.55,96.97,96.97,0,FRC
2017-08-11 09:30:00,98.21,98.21,97.13,97.13,77732,FRC
2017-08-11 10:30:00,97.15,97.54,96.94,97.2,96985,FRC
2017-08-11 11:30:00,97.2,97.6,97.2,97.35,48717,FRC
2017-08-11 12:30:00,97.38,97.82,97.28,97.45,37444,FRC
2017-08-11 13:30:00,97.51,97.61,97.32,97.39,37924,FRC
2017-08-11 14:30:00,97.38,97.45,97.17,97.32,47070,FRC
2017-08-11 15:30:00,97.4,97.58,97.32,97.39,78546,FRC
2017-08-11 16:00:00,97.37,97.45,97.37,97.45,0,FRC
2017-08-14 09:30:00,98.24,99.32,97.8,97.86,98493,FRC
2017-08-14 10:30:00,97.81,98.81,97.81,98.45,66003,FRC
2017-08-14 11:30:00,98.43,99.03,98.43,98.64,76571,FRC
2017-08-14 12:30:00,98.58,98.58,98.22,98.39,74943,FRC
2017-08-14 13:30:00,98.33,98.69,98.29,98.61,67058,FRC
2017-08-14 14:30:00,98.6,98.87,98.54,98.83,56293,FRC
2017-08-14 15:30:00,98.82,98.82,98.6,98.66,106155,FRC
2017-08-14 16:00:00,98.65,98.65,98.6,98.6,0,FRC
2017-08-15 09:30:00,99.87,99.87,98.83,98.96,46086,FRC
2017-08-15 10:30:00,98.97,99.12,98.72,98.78,50566,FRC
2017-08-15 11:30:00,98.8,99.11,98.68,99.09,51384,FRC
2017-08-15 12:30:00,99.07,99.16,98.93,99.04,41643,FRC
2017-08-15 13:30:00,98.99,99.03,98.72,98.88,57393,FRC
2017-08-15 14:30:00,98.88,98.96,98.81,98.87,47514,FRC
2017-08-15 15:30:00,98.87,99.02,98.72,98.77,98132,FRC
2017-08-15 16:00:00,98.75,98.93,98.75,98.93,0,FRC
2017-08-16 09:30:00,98.81,99.26,98.81,98.92,28057,FRC
2017-08-16 10:30:00,98.95,99.0,98.48,98.63,74687,FRC
2017-08-16 11:30:00,98.64,99.08,98.64,98.95,36997,FRC
2017-08-16 12:30:00,99.04,99.1,98.65,98.82,45406,FRC
