Date,Open,High,Low,Close,Volume,Name
2017-08-10 08:00:00,38.35,38.35,38.35,38.35,0,IRM
2017-08-10 09:30:00,38.07,38.07,37.75,37.84,158405,IRM
2017-08-10 10:30:00,37.85,38.04,37.85,37.97,184041,IRM
2017-08-10 11:30:00,38.0,38.01,37.8,37.81,99841,IRM
2017-08-10 12:30:00,37.81,37.99,37.79,37.97,100780,IRM
2017-08-10 13:30:00,37.97,37.99,37.8,37.9,136773,IRM
2017-08-10 14:30:00,37.9,37.99,37.79,37.88,189716,IRM
2017-08-10 15:30:00,37.88,37.96,37.83,37.84,272097,IRM
2017-08-10 16:00:00,37.83,37.89,37.74,37.83,0,IRM
2017-08-10 17:00:00,37.83,37.83,37.5,37.5,0,IRM
2017-08-11 08:00:00,37.63,37.63,37.63,37.63,0,IRM
2017-08-11 09:00:00,37.77,37.77,37.5,37.5,0,IRM
2017-08-11 09:30:00,37.66,37.66,37.28,37.28,176550,IRM
2017-08-11 10:30:00,37.26,37.32,37.21,37.26,204985,IRM
2017-08-11 11:30:00,37.27,37.33,37.22,37.26,78414,IRM
2017-08-11 12:30:00,37.26,37.28,37.11,37.11,97126,IRM
2017-08-11 13:30:00,37.12,37.21,37.1,37.18,61546,IRM
2017-08-11 14:30:00,37.18,37.22,37.1,37.17,104793,IRM
2017-08-11 15:30:00,37.17,37.22,37.12,37.13,253877,IRM
2017-08-11 16:00:00,37.13,37.13,37.13,37.13,0,IRM
2017-08-14 04:00:00,37.84,37.84,37.84,37.84,0,IRM
2017-08-14 08:00:00,37.13,37.13,37.13,37.13,0,IRM
2017-08-14 09:30:00,37.32,37.74,37.31,37.72,166809,IRM
2017-08-14 10:30:00,37.71,37.84,37.68,37.84,72676,IRM
2017-08-14 11:30:00,37.86,37.86,37.72,37.72,83345,IRM
2017-08-14 12:30:00,37.73,37.73,37.61,37.66,69383,IRM
2017-08-14 13:30:00,37.65,37.65,37.5,37.53,96514,IRM
2017-08-14 14:30:00,37.54,37.64,37.49,37.63,107427,IRM
2017-08-14 15:30:00,37.63,37.65,37.61,37.62,208209,IRM
2017-08-14 16:00:00,37.63,37.63,37.61,37.63,0,IRM
2017-08-14 17:00:00,37.63,37.63,37.63,37.63,0,IRM
2017-08-15 09:30:00,37.43,37.43,37.15,37.39,112273,IRM
2017-08-15 10:30:00,37.37,37.4,37.23,37.23,121959,IRM
2017-08-15 11:30:00,37.21,37.21,37.1,37.17,104365,IRM
2017-08-15 12:30:00,37.16,37.18,37.09,37.13,76353,IRM
2017-08-15 13:30:00,37.13,37.39,37.12,37.38,80038,IRM
2017-08-15 14:30:00,37.38,37.39,37.27,37.33,92078,IRM
2017-08-15 15:30:00,37.33,37.4,37.33,37.39,185967,IRM
2017-08-15 16:00:00,37.39,37.39,37.31,37.31,0,IRM
2017-08-15 17:00:00,37.4,37.4,37.4,37.4,0,IRM
2017-08-16 09:30:00,37.51,37.62,37.45,37.52,89626,IRM
2017-08-16 10:30:00,37.53,37.53,37.29,37.3,116497,IRM
2017-08-16 11:30:00,37.3,37.44,37.28,37.3,98993,IRM
2017-08-16 12:30:00,37.29,37.49,37.27,37.49,163528,IRM
2017-08-16 13:30:00,37.49,37.52,36.99,37.15,787362,IRM
2017-08-16 14:30:00,37.15,37.53,37.13,37.45,359016,IRM
2017-08-16 15:30:00,37.45,37.49,37.44,37.48,321839,IRM
2017-08-16 16:00:00,37.49,37.49,37.36,37.49,0,IRM
2017-08-17 09:00:00,37.49,37.49,37.49,37.49,0,IRM
2017-08-17 09:30:00,37.53,37.71,37.38,37.55,193616,IRM
2017-08-17 10:30:00,37.52,37.52,37.36,37.47,99008,IRM
2017-08-17 11:30:00,37.47,37.47,37.26,37.35,96149,IRM
2017-08-17 12:30:00,37.35,37.36,37.19,37.2,74758,IRM
2017-08-17 13:30:00,37.2,37.27,37.14,37.27,170527,IRM
2017-08-17 14:30:00,37.23,37.27,37.16,37.17,123797,IRM
2017-08-17 15:30:00,37.15,37.25,37.1,37.13,396790,IRM
2017-08-17 16:00:00,37.13,37.28,37.13,37.13,0,IRM
2017-08-17 18:00:00,37.13,37.13,37.13,37.13,0,IRM
2017-08-18 09:30:00,37.1,37.1,36.64,36.86,161452,IRM
2017-08-18 10:30:00,36.87,36.98,36.81,36.95,83666,IRM
2017-08-18 11:30:00,36.99,37.02,36.92,37.02,73793,IRM
2017-08-18 12:30:00,37.0,37.15,36.99,37.03,71082,IRM
2017-08-18 13:30:00,37.03,37.08,36.94,37.08,49408,IRM
2017-08-18 14:30:00,37.09,37.12,36.95,36.98,86846,IRM
2017-08-18 15:30:00,36.99,36.99,36.88,36.9,209538,IRM
2017-08-18 16:00:00,36.89,36.9,36.89,36.9,0,IRM
2017-08-18 17:00:00,36.89,36.89,36.89,36.89,0,IRM
2017-08-21 09:00:00,37.0,37.0,37.0,37.0,0,IRM
2017-08-21 09:30:00,36.99,37.71,36.95,37.71,131463,IRM
2017-08-21 10:30:00,37.71,37.8,37.67,37.72,93067,IRM
2017-08-21 11:30:00,37.7,37.73,37.56,37.72,74037,IRM
2017-08-21 12:30:00,37.73,37.77,37.69,37.74,52814,IRM
2017-08-21 13:30:00,37.73,37.78,37.64,37.7,65926,IRM
2017-08-21 14:30:00,37.72,37.72,37.61,37.65,105624,IRM
2017-08-21 15:30:00,37.65,37.65,37.57,37.58,213532,IRM
2017-08-21 16:00:00,37.58,37.61,37.58,37.58,0,IRM
2017-08-22 09:00:00,37.65,37.65,37.58,37.58,0,IRM
2017-08-22 09:30:00,37.62,37.72,37.5,37.68,128176,IRM
2017-08-22 10:30:00,37.66,37.77,37.63,37.67,51564,IRM
2017-08-22 11:30:00,37.68,37.72,37.61,37.68,50271,IRM
2017-08-22 12:30:00,37.68,37.73,37.67,37.72,37810,IRM
2017-08-22 13:30:00,37.72,37.87,37.72,37.86,58928,IRM
2017-08-22 14:30:00,37.88,37.92,37.8,37.8,115763,IRM
2017-08-22 15:30:00,37.8,37.83,37.71,37.74,240188,IRM
2017-08-22 16:00:00,37.73,37.74,37.73,37.73,0,IRM
2017-08-22 17:00:00,37.74,37.74,37.74,37.74,0,IRM
2017-08-23 09:30:00,37.69,38.23,37.66,38.23,69199,IRM
2017-08-23 10:30:00,38.16,38.3,38.11,38.26,110535,IRM
2017-08-23 11:30:00,38.25,38.41,38.24,38.4,104938,IRM
2017-08-23 12:30:00,38.41,38.42,38.28,38.37,105990,IRM
2017-08-23 13:30:00,38.38,38.62,38.37,38.61,188959,IRM
2017-08-23 14:30:00,38.63,38.72,38.51,38.58,304459,IRM
2017-08-23 15:30:00,38.58,38.61,38.36,38.39,316954,IRM
2017-08-23 16:00:00,38.39,38.42,38.39,38.39,0,IRM
2017-08-24 09:30:00,38.32,38.72,38.19,38.7,203136,IRM
2017-08-24 10:30:00,38.7,38.74,38.61,38.61,184907,IRM
2017-08-24 11:30:00,38.59,38.7,38.57,38.65,125463,IRM
2017-08-24 12:30:00,38.65,38.8,38.6,38.8,133716,IRM
2017-08-24 13:30:00,38.79,38.79,38.61,38.62,130236,IRM
2017-08-24 14:30:00,38.62,38.68,38.59,38.65,144599,IRM
2017-08-24 15:30:00,38.66,38.66,38.52,38.53,209626,IRM
2017-08-24 16:00:00,38.53,38.6,38.53,38.54,0,IRM
2017-08-25 09:30:00,38.74,38.75,38.62,38.7,97310,IRM
2017-08-25 10:30:00,38.72,38.72,38.52,38.65,156129,IRM
2017-08-25 11:30:00,38.62,38.74,38.62,38.72,75016,IRM
2017-08-25 12:30:00,38.73,38.73,38.55,38.68,81974,IRM
2017-08-25 13:30:00,38.68,38.77,38.63,38.71,83104,IRM
2017-08-25 14:30:00,38.72,38.73,38.57,38.58,133543,IRM
2017-08-25 15:30:00,38.58,38.6,38.47,38.48,196629,IRM
2017-08-25 16:00:00,38.49,38.61,38.4,38.47,0,IRM
2017-08-28 08:00:00,38.48,38.48,38.48,38.48,0,IRM
2017-08-28 09:00:00,38.47,38.47,38.47,38.47,0,IRM
2017-08-28 09:30:00,38.44,39.06,38.35,38.95,175112,IRM
2017-08-28 10:30:00,38.95,39.28,38.92,39.23,304276,IRM
2017-08-28 11:30:00,39.22,39.24,39.02,39.1,171985,IRM
2017-08-28 12:30:00,39.1,39.15,39.01,39.07,137993,IRM
2017-08-28 13:30:00,39.06,39.12,39.03,39.1,163264,IRM
2017-08-28 14:30:00,39.1,39.15,38.91,39.08,335065,IRM
2017-08-28 15:30:00,39.07,39.1,39.03,39.06,382780,IRM
2017-08-28 16:00:00,39.06,39.29,39.04,39.06,0,IRM
2017-08-29 08:00:00,39.02,39.02,39.02,39.02,0,IRM
2017-08-29 09:00:00,39.01,39.06,38.51,39.06,0,IRM
2017-08-29 09:30:00,39.0,39.39,39.0,39.39,172308,IRM
2017-08-29 10:30:00,39.38,39.41,39.11,39.18,143363,IRM
2017-08-29 11:30:00,39.18,39.34,39.18,39.32,277678,IRM
2017-08-29 12:30:00,39.32,39.32,39.19,39.24,129242,IRM
2017-08-29 13:30:00,39.25,39.26,39.19,39.22,89960,IRM
2017-08-29 14:30:00,39.21,39.27,39.2,39.2,139461,IRM
2017-08-29 15:30:00,39.2,39.26,39.19,39.25,218042,IRM
2017-08-29 16:00:00,39.24,39.25,39.24,39.24,0,IRM
2017-08-30 09:00:00,39.35,39.35,39.02,39.3,0,IRM
2017-08-30 09:30:00,39.11,39.29,38.99,39.28,127381,IRM
2017-08-30 10:30:00,39.3,39.31,39.18,39.28,141331,IRM
2017-08-30 11:30:00,39.27,39.34,39.27,39.34,124447,IRM
2017-08-30 12:30:00,39.34,39.58,39.31,39.49,146750,IRM
2017-08-30 13:30:00,39.49,39.5,39.37,39.49,110357,IRM
2017-08-30 14:30:00,39.49,39.5,39.35,39.47,165462,IRM
2017-08-30 15:30:00,39.47,39.51,39.36,39.5,371767,IRM
2017-08-30 16:00:00,39.51,39.51,39.39,39.51,0,IRM
2017-08-31 09:30:00,39.51,39.69,39.44,39.56,131399,IRM
2017-08-31 10:30:00,39.56,39.57,39.45,39.54,154707,IRM
2017-08-31 11:30:00,39.53,39.58,39.46,39.53,91558,IRM
2017-08-31 12:30:00,39.51,39.58,39.46,39.49,67299,IRM
2017-08-31 13:30:00,39.5,39.65,39.46,39.64,74082,IRM
