Date,Open,High,Low,Close,Volume,Name
2017-08-10 05:00:00,91.3,91.3,91.3,91.3,0,KLAC
2017-08-10 09:00:00,90.52,90.52,90.52,90.52,0,KLAC
2017-08-10 09:30:00,90.76,91.08,89.7,90.06,146600,KLAC
2017-08-10 10:30:00,90.08,90.24,89.7,89.81,91008,KLAC
2017-08-10 11:30:00,89.9,90.09,89.04,89.14,122278,KLAC
2017-08-10 12:30:00,89.11,89.38,88.86,89.2,132934,KLAC
2017-08-10 13:30:00,89.12,89.35,88.8,89.31,147132,KLAC
2017-08-10 14:30:00,89.29,89.48,88.6,88.71,157398,KLAC
2017-08-10 15:30:00,88.76,88.76,87.97,88.15,241218,KLAC
2017-08-10 16:00:00,88.14,89.09,87.5,88.96,0,KLAC
2017-08-10 17:00:00,88.13,88.13,87.86,87.86,0,KLAC
2017-08-10 18:00:00,87.86,87.86,87.86,87.86,0,KLAC
2017-08-11 04:00:00,87.65,87.65,87.65,87.65,0,KLAC
2017-08-11 09:00:00,87.79,88.26,87.79,88.12,0,KLAC
2017-08-11 09:30:00,88.1,90.49,88.1,90.24,259752,KLAC
2017-08-11 10:30:00,90.28,90.46,89.58,89.58,124113,KLAC
2017-08-11 11:30:00,89.7,90.32,89.62,90.27,99860,KLAC
2017-08-11 12:30:00,90.27,90.38,90.06,90.15,58088,KLAC
2017-08-11 13:30:00,90.11,90.59,90.08,90.49,54870,KLAC
2017-08-11 14:30:00,90.4,90.55,90.14,90.35,132244,KLAC
2017-08-11 15:30:00,90.34,90.53,90.21,90.33,191091,KLAC
2017-08-11 16:00:00,90.34,90.34,90.03,90.34,0,KLAC
2017-08-14 09:00:00,91.42,91.42,91.42,91.42,0,KLAC
2017-08-14 09:30:00,91.55,92.73,91.55,91.84,206242,KLAC
2017-08-14 10:30:00,91.95,92.0,91.6,91.6,223127,KLAC
2017-08-14 11:30:00,91.62,91.9,91.56,91.61,116297,KLAC
2017-08-14 12:30:00,91.6,92.0,91.53,91.82,104556,KLAC
2017-08-14 13:30:00,91.82,91.87,91.31,91.4,109598,KLAC
2017-08-14 14:30:00,91.39,91.52,91.03,91.48,151797,KLAC
2017-08-14 15:30:00,91.48,91.63,91.29,91.5,225002,KLAC
2017-08-14 16:00:00,91.5,91.63,91.5,91.5,0,KLAC
2017-08-15 08:00:00,91.5,91.5,91.5,91.5,0,KLAC
2017-08-15 09:30:00,91.44,91.44,90.61,91.0,150136,KLAC
2017-08-15 10:30:00,90.98,91.19,90.74,90.87,96753,KLAC
2017-08-15 11:30:00,90.83,91.08,90.79,91.0,62028,KLAC
2017-08-15 12:30:00,91.0,91.1,90.68,90.7,50293,KLAC
2017-08-15 13:30:00,90.71,90.83,90.51,90.62,64089,KLAC
2017-08-15 14:30:00,90.62,90.97,90.61,90.79,88063,KLAC
2017-08-15 15:30:00,90.79,91.08,90.67,91.06,156505,KLAC
2017-08-15 16:00:00,91.02,91.25,90.84,91.02,0,KLAC
2017-08-15 17:00:00,91.04,91.04,91.04,91.04,0,KLAC
2017-08-16 09:00:00,91.0,91.0,91.0,91.0,0,KLAC
2017-08-16 09:30:00,91.26,91.98,90.51,91.05,148496,KLAC
2017-08-16 10:30:00,91.06,91.93,91.01,91.46,120986,KLAC
2017-08-16 11:30:00,91.5,91.88,91.48,91.88,76118,KLAC
2017-08-16 12:30:00,91.87,92.3,91.38,91.47,99778,KLAC
2017-08-16 13:30:00,91.5,91.83,91.38,91.41,65061,KLAC
2017-08-16 14:30:00,91.43,91.85,91.33,91.73,74191,KLAC
2017-08-16 15:30:00,91.8,91.92,91.76,91.88,127123,KLAC
2017-08-16 16:00:00,91.88,91.88,91.6,91.88,0,KLAC
2017-08-16 19:00:00,91.31,91.31,91.31,91.31,0,KLAC
2017-08-17 09:00:00,91.88,91.88,91.88,91.88,0,KLAC
2017-08-17 09:30:00,91.14,91.72,90.5,90.78,135551,KLAC
2017-08-17 10:30:00,90.86,91.36,90.76,91.2,87843,KLAC
2017-08-17 11:30:00,91.25,91.29,90.59,90.76,66913,KLAC
2017-08-17 12:30:00,90.74,90.78,90.23,90.73,116923,KLAC
2017-08-17 13:30:00,90.69,90.8,90.25,90.58,110276,KLAC
2017-08-17 14:30:00,90.53,90.58,90.09,90.28,132596,KLAC
2017-08-17 15:30:00,90.22,90.39,89.77,89.77,259750,KLAC
2017-08-17 16:00:00,89.77,90.25,89.76,90.25,0,KLAC
2017-08-17 18:00:00,89.77,89.77,89.77,89.77,0,KLAC
2017-08-18 04:00:00,90.01,90.01,90.01,90.01,0,KLAC
2017-08-18 08:00:00,90.13,90.75,90.13,90.75,0,KLAC
2017-08-18 09:00:00,90.14,90.16,90.11,90.16,0,KLAC
2017-08-18 09:30:00,90.07,90.66,89.41,90.58,273453,KLAC
2017-08-18 10:30:00,90.41,90.75,90.1,90.67,117068,KLAC
2017-08-18 11:30:00,90.77,90.97,90.52,90.7,138340,KLAC
2017-08-18 12:30:00,90.73,90.89,90.51,90.66,70884,KLAC
2017-08-18 13:30:00,90.65,90.7,90.35,90.59,102123,KLAC
2017-08-18 14:30:00,90.6,90.7,90.48,90.7,108752,KLAC
2017-08-18 15:30:00,90.66,90.72,90.21,90.26,227760,KLAC
2017-08-18 16:00:00,90.26,90.42,90.26,90.28,0,KLAC
2017-08-21 09:00:00,89.57,90.24,89.57,90.24,0,KLAC
2017-08-21 09:30:00,89.6,90.05,88.81,89.05,139976,KLAC
2017-08-21 10:30:00,88.87,89.06,88.49,88.83,123064,KLAC
2017-08-21 11:30:00,88.83,89.27,88.82,89.25,115002,KLAC
2017-08-21 12:30:00,89.24,89.27,88.96,89.14,87496,KLAC
2017-08-21 13:30:00,89.15,89.19,88.88,89.03,135478,KLAC
2017-08-21 14:30:00,89.04,89.19,88.72,88.87,134994,KLAC
2017-08-21 15:30:00,88.86,89.07,88.84,88.99,157040,KLAC
2017-08-21 16:00:00,89.01,89.07,89.01,89.01,0,KLAC
2017-08-21 18:00:00,89.01,89.01,89.01,89.01,0,KLAC
2017-08-22 08:00:00,89.46,89.46,89.46,89.46,0,KLAC
2017-08-22 09:00:00,89.62,89.87,89.62,89.87,0,KLAC
2017-08-22 09:30:00,89.47,90.55,89.47,90.35,167128,KLAC
2017-08-22 10:30:00,90.39,90.9,90.18,90.81,155253,KLAC
2017-08-22 11:30:00,90.82,91.27,90.63,91.27,86481,KLAC
2017-08-22 12:30:00,91.29,91.4,91.17,91.36,47890,KLAC
2017-08-22 13:30:00,91.34,91.9,91.26,91.85,93384,KLAC
2017-08-22 14:30:00,91.85,92.08,91.63,91.63,109775,KLAC
2017-08-22 15:30:00,91.65,91.93,91.63,91.7,129451,KLAC
