Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:00:00,101.0,101.0,100.95,100.95,0,MAR
2017-08-10 09:30:00,100.78,100.78,99.21,99.4,516097,MAR
2017-08-10 10:30:00,99.37,100.1,99.3,99.91,485187,MAR
2017-08-10 11:30:00,99.96,100.26,99.63,99.75,456409,MAR
2017-08-10 12:30:00,99.74,99.88,99.22,99.74,383462,MAR
2017-08-10 13:30:00,99.74,100.06,99.59,100.0,323540,MAR
2017-08-10 14:30:00,99.99,100.44,99.7,99.8,497359,MAR
2017-08-10 15:30:00,99.81,99.83,99.48,99.53,702990,MAR
2017-08-10 16:00:00,99.54,99.77,99.03,99.05,0,MAR
2017-08-10 17:00:00,99.05,99.51,99.05,99.05,0,MAR
2017-08-10 18:00:00,99.45,99.45,99.45,99.45,0,MAR
2017-08-10 19:00:00,99.44,99.52,99.3,99.3,0,MAR
2017-08-11 08:00:00,99.3,99.3,99.03,99.3,0,MAR
2017-08-11 09:00:00,99.03,99.75,99.03,99.5,0,MAR
2017-08-11 09:30:00,99.75,100.04,98.86,99.42,410367,MAR
2017-08-11 10:30:00,99.45,99.8,99.2,99.26,352220,MAR
2017-08-11 11:30:00,99.27,99.81,99.27,99.5,252889,MAR
2017-08-11 12:30:00,99.48,99.52,99.21,99.24,215649,MAR
2017-08-11 13:30:00,99.26,99.6,99.24,99.46,233999,MAR
2017-08-11 14:30:00,99.49,99.5,99.25,99.45,262278,MAR
2017-08-11 15:30:00,99.46,99.55,99.37,99.41,351566,MAR
2017-08-11 16:00:00,99.4,99.4,99.1,99.1,0,MAR
2017-08-11 17:00:00,99.39,99.39,99.39,99.39,0,MAR
2017-08-11 18:00:00,99.68,99.69,99.5,99.69,0,MAR
2017-08-11 19:00:00,99.69,99.69,99.69,99.69,0,MAR
2017-08-14 16:00:00,100.07,100.07,100.07,100.07,2578263,MAR
2017-08-14 17:00:00,100.3,100.3,100.3,100.3,0,MAR
2017-08-15 09:00:00,100.0,100.0,100.0,100.0,0,MAR
2017-08-15 09:30:00,100.39,101.03,99.94,100.7,292379,MAR
2017-08-15 10:30:00,100.67,100.67,100.18,100.4,251438,MAR
2017-08-15 11:30:00,100.41,100.54,100.17,100.24,197334,MAR
2017-08-15 12:30:00,100.22,100.26,99.94,100.26,134851,MAR
2017-08-15 13:30:00,100.25,100.41,100.19,100.39,145878,MAR
2017-08-15 14:30:00,100.39,100.44,100.19,100.28,228816,MAR
2017-08-15 15:30:00,100.31,100.61,100.31,100.43,282148,MAR
2017-08-15 16:00:00,100.4,100.42,100.24,100.38,0,MAR
2017-08-15 17:00:00,100.42,100.42,100.42,100.42,0,MAR
2017-08-16 09:00:00,100.5,101.19,100.4,100.62,0,MAR
2017-08-16 09:30:00,100.7,100.85,100.19,100.47,264160,MAR
2017-08-16 10:30:00,100.45,100.64,100.28,100.28,343501,MAR
2017-08-16 11:30:00,100.34,100.61,100.34,100.5,181269,MAR
2017-08-16 12:30:00,100.5,100.54,100.03,100.04,271371,MAR
2017-08-16 13:30:00,100.03,100.23,99.69,100.0,296577,MAR
2017-08-16 14:30:00,100.0,100.3,99.95,100.25,180764,MAR
2017-08-16 15:30:00,100.27,100.31,100.21,100.3,281857,MAR
2017-08-16 16:00:00,100.3,100.33,100.3,100.3,0,MAR
2017-08-16 17:00:00,100.01,100.01,100.01,100.01,0,MAR
2017-08-16 19:00:00,100.4,100.4,100.4,100.4,0,MAR
2017-08-17 09:00:00,100.4,100.4,100.4,100.4,0,MAR
2017-08-17 09:30:00,99.88,100.08,98.42,98.57,610516,MAR
2017-08-17 10:30:00,98.6,99.65,98.6,99.46,296209,MAR
2017-08-17 11:30:00,99.43,99.44,98.69,98.75,312106,MAR
2017-08-17 12:30:00,98.78,98.82,98.25,98.36,253056,MAR
2017-08-17 13:30:00,98.39,98.68,98.27,98.63,173840,MAR
2017-08-17 14:30:00,98.57,98.64,97.95,98.15,303054,MAR
2017-08-17 15:30:00,98.14,98.45,97.81,97.84,594194,MAR
2017-08-17 16:00:00,97.84,98.88,97.84,97.84,0,MAR
2017-08-17 17:00:00,97.83,97.84,97.83,97.84,0,MAR
2017-08-17 18:00:00,97.84,97.84,97.84,97.84,0,MAR
2017-08-17 19:00:00,97.73,97.73,97.72,97.72,0,MAR
2017-08-18 08:00:00,97.67,97.67,97.22,97.31,0,MAR
2017-08-18 09:00:00,97.49,99.2,97.49,97.76,0,MAR
2017-08-18 09:30:00,97.6,98.49,96.95,98.39,449920,MAR
2017-08-18 10:30:00,98.33,98.44,97.68,98.33,192119,MAR
2017-08-18 11:30:00,98.27,98.37,98.06,98.27,135238,MAR
2017-08-18 12:30:00,98.26,98.66,98.19,98.66,155203,MAR
2017-08-18 13:30:00,98.63,98.74,98.29,98.43,106226,MAR
2017-08-18 14:30:00,98.43,98.56,98.18,98.29,190116,MAR
2017-08-18 15:30:00,98.3,98.32,97.99,98.02,253773,MAR
2017-08-18 16:00:00,98.03,98.1,98.03,98.03,0,MAR
2017-08-21 09:30:00,98.05,98.69,98.02,98.52,218116,MAR
2017-08-21 10:30:00,98.56,99.07,98.56,98.93,139163,MAR
2017-08-21 11:30:00,98.94,99.04,98.84,99.04,131663,MAR
2017-08-21 12:30:00,99.05,99.06,98.82,98.87,140616,MAR
2017-08-21 13:30:00,98.87,98.93,98.64,98.7,106985,MAR
2017-08-21 14:30:00,98.72,99.19,98.61,99.16,219440,MAR
2017-08-21 15:30:00,99.18,99.2,99.01,99.08,207177,MAR
2017-08-21 16:00:00,99.08,99.1,98.85,99.08,0,MAR
2017-08-21 18:00:00,99.08,99.08,99.08,99.08,0,MAR
2017-08-22 08:00:00,99.23,99.23,99.23,99.23,0,MAR
2017-08-22 09:00:00,99.23,99.23,99.23,99.23,0,MAR
2017-08-22 09:30:00,98.86,100.92,98.86,100.77,388844,MAR
2017-08-22 10:30:00,100.78,101.14,100.65,100.95,194308,MAR
2017-08-22 11:30:00,100.91,101.1,100.91,101.1,221164,MAR
2017-08-22 12:30:00,101.08,101.27,100.96,101.14,233681,MAR
2017-08-22 13:30:00,101.14,101.52,100.98,101.5,200574,MAR
2017-08-22 14:30:00,101.48,101.8,101.42,101.79,261273,MAR
2017-08-22 15:30:00,101.78,102.4,101.76,102.0,889856,MAR
2017-08-22 16:00:00,102.0,102.0,101.4,102.0,0,MAR
2017-08-22 17:00:00,102.02,102.02,102.02,102.02,0,MAR
2017-08-23 09:00:00,100.95,101.01,100.95,101.01,0,MAR
2017-08-23 09:30:00,100.98,101.66,100.79,101.28,302674,MAR
2017-08-23 10:30:00,101.3,101.44,101.0,101.16,319038,MAR
2017-08-23 11:30:00,101.18,101.24,100.96,101.02,192127,MAR
2017-08-23 12:30:00,101.05,101.05,100.74,100.76,167663,MAR
2017-08-23 13:30:00,100.76,100.76,100.27,100.52,239422,MAR
2017-08-23 14:30:00,100.51,100.83,100.45,100.78,239839,MAR
2017-08-23 15:30:00,100.8,100.93,100.41,100.45,376651,MAR
2017-08-23 16:00:00,100.43,100.43,100.43,100.43,0,MAR
2017-08-24 08:00:00,100.43,100.43,100.43,100.43,0,MAR
2017-08-24 09:30:00,100.42,101.02,99.9,100.07,171264,MAR
2017-08-24 10:30:00,100.15,100.29,99.67,99.73,188943,MAR
2017-08-24 11:30:00,99.71,99.99,99.59,99.82,149837,MAR
2017-08-24 12:30:00,99.83,100.2,99.83,100.05,128430,MAR
2017-08-24 13:30:00,100.05,100.05,99.78,99.92,146132,MAR
2017-08-24 14:30:00,99.92,100.09,99.9,99.98,180999,MAR
2017-08-24 15:30:00,100.0,100.03,99.88,99.96,239112,MAR
2017-08-24 16:00:00,99.95,100.01,99.95,99.96,0,MAR
2017-08-24 17:00:00,99.95,99.95,99.95,99.95,0,MAR
2017-08-25 09:00:00,100.74,100.79,100.74,100.79,0,MAR
2017-08-25 09:30:00,100.57,100.81,100.22,100.71,192642,MAR
2017-08-25 10:30:00,100.77,100.77,100.15,100.32,146067,MAR
2017-08-25 11:30:00,100.26,100.42,100.15,100.35,113965,MAR
2017-08-25 12:30:00,100.32,100.51,100.28,100.47,83955,MAR
2017-08-25 13:30:00,100.48,100.63,100.43,100.53,100801,MAR
2017-08-25 14:30:00,100.54,100.96,100.52,100.96,151163,MAR
2017-08-25 15:30:00,100.95,100.97,100.63,100.67,250416,MAR
2017-08-25 16:00:00,100.66,100.7,100.59,100.66,0,MAR
2017-08-28 09:00:00,100.66,101.09,100.66,100.99,0,MAR
2017-08-28 09:30:00,100.77,100.94,100.57,100.6,122230,MAR
2017-08-28 10:30:00,100.62,100.82,100.45,100.54,160822,MAR
2017-08-28 11:30:00,100.54,100.6,100.37,100.43,134996,MAR
2017-08-28 12:30:00,100.43,100.63,100.24,100.59,146602,MAR
2017-08-28 13:30:00,100.55,100.75,100.51,100.6,134817,MAR
2017-08-28 14:30:00,100.57,100.7,100.53,100.68,159039,MAR
2017-08-28 15:30:00,100.68,100.75,100.54,100.71,247836,MAR
2017-08-28 16:00:00,100.71,100.71,100.5,100.71,0,MAR
2017-08-28 17:00:00,100.71,100.71,100.5,100.5,0,MAR
2017-08-29 09:00:00,100.15,100.15,100.01,100.03,0,MAR
2017-08-29 09:30:00,99.99,100.35,99.98,100.08,280511,MAR
2017-08-29 10:30:00,100.06,100.4,100.03,100.17,128874,MAR
2017-08-29 11:30:00,100.19,100.42,100.14,100.27,103304,MAR
2017-08-29 12:30:00,100.27,100.28,100.07,100.13,87885,MAR
2017-08-29 13:30:00,100.15,100.17,100.04,100.12,87567,MAR
2017-08-29 14:30:00,100.1,100.53,100.1,100.46,123678,MAR
2017-08-29 15:30:00,100.47,100.49,100.19,100.22,264317,MAR
2017-08-29 16:00:00,100.23,100.23,100.2,100.23,0,MAR
2017-08-30 08:00:00,100.3,100.89,100.3,100.89,0,MAR
2017-08-30 09:00:00,100.49,102.25,100.49,100.55,0,MAR
2017-08-30 09:30:00,100.58,101.56,100.58,101.56,203634,MAR
2017-08-30 10:30:00,101.54,102.78,101.42,102.78,271513,MAR
2017-08-30 11:30:00,102.8,103.0,102.32,102.89,263743,MAR
2017-08-30 12:30:00,102.89,103.55,102.82,103.53,198393,MAR
2017-08-30 13:30:00,103.57,103.7,103.51,103.65,186889,MAR
2017-08-30 14:30:00,103.66,103.67,103.4,103.61,252899,MAR
2017-08-30 15:30:00,103.61,103.74,103.33,103.64,446038,MAR
2017-08-30 16:00:00,103.64,103.67,102.93,103.64,0,MAR
2017-08-31 09:00:00,103.62,103.65,103.62,103.65,0,MAR
2017-08-31 09:30:00,103.66,104.29,103.13,103.21,303883,MAR
2017-08-31 10:30:00,103.18,103.21,102.97,103.01,207931,MAR
2017-08-31 11:30:00,102.99,103.27,102.83,103.25,218901,MAR
2017-08-31 12:30:00,103.27,103.52,103.12,103.12,173164,MAR
2017-08-31 13:30:00,103.15,103.35,103.14,103.28,132718,MAR
2017-08-31 14:30:00,103.31,103.51,103.26,103.44,162526,MAR
2017-08-31 15:30:00,103.45,103.68,103.45,103.58,624239,MAR
2017-08-31 16:00:00,103.58,103.64,103.38,103.58,0,MAR
2017-08-31 17:00:00,103.58,103.59,103.0,103.59,0,MAR
2017-08-31 19:00:00,103.58,103.58,103.58,103.58,0,MAR
2017-09-01 08:00:00,103.58,103.58,103.58,103.58,0,MAR
2017-09-01 09:00:00,104.0,104.37,104.0,104.37,0,MAR
2017-09-01 09:30:00,103.98,104.2,103.74,103.79,247596,MAR
2017-09-01 10:30:00,103.83,103.83,103.43,103.46,199094,MAR
2017-09-01 11:30:00,103.46,103.81,103.43,103.67,114201,MAR
2017-09-01 12:30:00,103.68,103.74,103.65,103.71,83176,MAR
2017-09-01 13:30:00,103.71,103.75,103.67,103.72,87225,MAR
2017-09-01 14:30:00,103.74,103.75,103.68,103.72,112386,MAR
2017-09-01 15:30:00,103.71,104.04,103.7,103.8,338783,MAR
2017-09-01 16:00:00,103.8,103.8,103.8,103.8,0,MAR
2017-09-01 17:00:00,104.3,104.3,104.3,104.3,0,MAR
2017-09-05 09:00:00,104.26,104.26,103.67,103.67,0,MAR
2017-09-05 09:30:00,103.73,103.75,102.53,102.57,246612,MAR
2017-09-05 10:30:00,102.59,102.67,102.25,102.36,177908,MAR
2017-09-05 11:30:00,102.38,102.65,101.59,101.59,208724,MAR
2017-09-05 12:30:00,101.54,101.62,101.2,101.38,228420,MAR
2017-09-05 13:30:00,101.36,102.16,101.12,102.16,298872,MAR
2017-09-05 14:30:00,102.1,102.16,101.88,102.08,264020,MAR
2017-09-05 15:30:00,102.11,102.32,102.05,102.28,292726,MAR
2017-09-05 16:00:00,102.28,102.3,102.12,102.28,0,MAR
2017-09-06 09:00:00,102.58,102.68,102.58,102.68,0,MAR
2017-09-06 09:30:00,102.78,102.78,101.58,101.9,215888,MAR
2017-09-06 10:30:00,101.9,101.9,101.27,101.78,212565,MAR
2017-09-06 11:30:00,101.78,102.07,101.72,101.89,141287,MAR
2017-09-06 12:30:00,101.87,101.92,101.59,101.66,106362,MAR
2017-09-06 13:30:00,101.69,101.88,101.63,101.76,101551,MAR
2017-09-06 14:30:00,101.79,101.97,101.73,101.97,137896,MAR
2017-09-06 15:30:00,102.01,102.04,101.77,101.81,227522,MAR
2017-09-06 16:00:00,101.8,101.99,101.8,101.8,0,MAR
2017-09-07 09:00:00,101.8,101.8,101.8,101.8,0,MAR
2017-09-07 09:30:00,102.02,102.22,101.41,101.47,205794,MAR
2017-09-07 10:30:00,101.46,102.12,101.44,101.58,163332,MAR
2017-09-07 11:30:00,101.61,101.83,101.22,101.34,174428,MAR
2017-09-07 12:30:00,101.51,101.58,101.39,101.57,187742,MAR
2017-09-07 13:30:00,101.56,101.82,101.56,101.77,140276,MAR
2017-09-07 14:30:00,101.77,101.78,101.5,101.53,168401,MAR
2017-09-07 15:30:00,101.54,101.88,101.54,101.76,218727,MAR
2017-09-07 16:00:00,101.76,101.76,101.69,101.76,0,MAR
2017-09-08 08:00:00,101.76,101.76,101.76,101.76,0,MAR
2017-09-08 09:00:00,101.76,101.76,101.75,101.76,0,MAR
2017-09-08 09:30:00,101.73,103.64,101.61,103.57,332766,MAR
2017-09-08 10:30:00,103.55,103.86,103.29,103.5,180077,MAR
2017-09-08 11:30:00,103.46,103.93,103.4,103.84,132183,MAR
2017-09-08 12:30:00,103.86,104.43,103.86,104.2,192307,MAR
2017-09-08 13:30:00,104.13,104.13,103.65,103.65,179270,MAR
2017-09-08 14:30:00,103.72,103.73,103.25,103.25,222172,MAR
2017-09-08 15:30:00,103.22,103.5,103.2,103.45,497176,MAR
2017-09-08 16:00:00,103.43,103.43,103.42,103.43,0,MAR
2017-09-11 09:00:00,103.79,104.84,103.42,103.42,0,MAR
2017-09-11 09:30:00,104.5,106.09,104.5,104.84,734099,MAR
2017-09-11 10:30:00,104.77,104.85,104.01,104.01,499650,MAR
2017-09-11 11:30:00,104.02,104.5,104.02,104.48,207415,MAR
2017-09-11 12:30:00,104.48,104.7,104.39,104.55,213635,MAR
2017-09-11 13:30:00,104.57,104.71,104.37,104.39,145343,MAR
2017-09-11 14:30:00,104.5,104.53,104.31,104.36,259531,MAR
2017-09-11 15:30:00,104.36,104.68,104.28,104.63,415219,MAR
