Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:30:00,88.01,88.17,87.31,87.37,0,MSI
2017-08-10 10:30:00,87.36,87.53,87.34,87.47,95151,MSI
2017-08-10 11:30:00,87.51,87.57,87.06,87.13,77684,MSI
2017-08-10 12:30:00,87.11,87.39,87.0,87.29,71552,MSI
2017-08-10 13:30:00,87.3,87.4,87.1,87.4,101702,MSI
2017-08-10 14:30:00,87.44,87.47,87.16,87.24,126845,MSI
2017-08-10 15:30:00,87.25,87.29,86.98,87.0,243556,MSI
2017-08-10 16:00:00,86.99,86.99,86.99,86.99,0,MSI
2017-08-10 17:00:00,86.98,86.98,86.98,86.98,0,MSI
2017-08-11 09:30:00,87.11,88.02,87.03,87.96,215294,MSI
2017-08-11 10:30:00,87.91,88.25,87.82,88.06,101838,MSI
2017-08-11 11:30:00,88.05,88.28,87.93,87.93,54698,MSI
2017-08-11 12:30:00,87.94,87.98,87.83,87.86,50395,MSI
2017-08-11 13:30:00,87.88,87.93,87.81,87.89,56775,MSI
2017-08-11 14:30:00,87.9,87.9,87.47,87.62,94008,MSI
2017-08-11 15:30:00,87.61,87.66,87.47,87.48,173279,MSI
2017-08-11 16:00:00,88.1,88.1,87.48,87.48,0,MSI
2017-08-14 09:30:00,88.22,88.85,88.08,88.61,104975,MSI
2017-08-14 10:30:00,88.61,88.61,88.28,88.46,72685,MSI
2017-08-14 11:30:00,88.49,88.74,88.45,88.68,45813,MSI
2017-08-14 12:30:00,88.68,88.74,88.56,88.61,62734,MSI
2017-08-14 13:30:00,88.63,88.63,88.43,88.56,56899,MSI
2017-08-14 14:30:00,88.6,88.73,88.48,88.68,116432,MSI
2017-08-14 15:30:00,88.69,88.69,88.54,88.55,132051,MSI
2017-08-14 16:00:00,88.6,88.62,88.6,88.6,0,MSI
2017-08-15 09:30:00,88.73,88.86,88.53,88.59,104612,MSI
2017-08-15 10:30:00,88.44,88.61,88.35,88.47,109177,MSI
2017-08-15 11:30:00,88.48,88.48,88.15,88.16,74475,MSI
2017-08-15 12:30:00,88.19,88.26,88.02,88.06,62126,MSI
2017-08-15 13:30:00,88.07,88.24,87.96,88.2,112097,MSI
2017-08-15 14:30:00,88.19,88.26,88.1,88.11,155060,MSI
2017-08-15 15:30:00,88.12,88.16,87.9,87.92,164587,MSI
2017-08-15 16:00:00,87.92,88.24,87.92,87.92,0,MSI
2017-08-15 17:00:00,87.94,87.94,87.94,87.94,0,MSI
2017-08-16 09:30:00,87.99,88.16,86.48,87.04,381612,MSI
2017-08-16 10:30:00,87.11,87.91,87.11,87.89,190296,MSI
2017-08-16 11:30:00,87.86,88.49,87.7,88.49,139026,MSI
2017-08-16 12:30:00,88.49,88.59,88.04,88.2,132572,MSI
2017-08-16 13:30:00,88.2,88.2,87.75,87.75,186174,MSI
2017-08-16 14:30:00,87.76,88.09,87.71,88.07,221613,MSI
2017-08-16 15:30:00,88.07,88.18,87.97,88.18,219192,MSI
2017-08-16 16:00:00,88.19,88.42,88.19,88.19,0,MSI
2017-08-17 09:30:00,87.5,88.03,87.46,88.03,110622,MSI
2017-08-17 10:30:00,88.11,88.41,87.62,88.12,315369,MSI
2017-08-17 11:30:00,88.08,88.17,87.62,87.75,125600,MSI
2017-08-17 12:30:00,87.83,87.83,87.64,87.75,150571,MSI
2017-08-17 13:30:00,87.79,87.96,87.71,87.87,99895,MSI
2017-08-17 14:30:00,87.88,87.92,87.43,87.45,234431,MSI
2017-08-17 15:30:00,87.45,87.61,87.09,87.14,185037,MSI
2017-08-17 16:00:00,87.83,87.83,87.13,87.81,0,MSI
2017-08-17 18:00:00,87.13,87.13,87.13,87.13,0,MSI
2017-08-18 09:30:00,86.64,87.81,86.4,87.73,213218,MSI
2017-08-18 10:30:00,87.62,88.2,87.54,87.97,148954,MSI
2017-08-18 11:30:00,87.91,88.25,87.77,88.08,114892,MSI
2017-08-18 12:30:00,88.11,88.41,87.92,88.02,112204,MSI
2017-08-18 13:30:00,88.01,88.09,87.55,87.75,173297,MSI
2017-08-18 14:30:00,87.73,87.81,87.54,87.59,139568,MSI
2017-08-18 15:30:00,87.59,87.69,87.34,87.38,203986,MSI
2017-08-18 16:00:00,87.37,87.37,87.37,87.37,0,MSI
