Date,Open,High,Low,Close,Volume,Name
2017-08-10 04:00:00,59.9,59.9,59.9,59.9,0,NKE
2017-08-10 08:00:00,59.55,59.9,59.55,59.9,0,NKE
2017-08-10 09:00:00,59.87,59.87,59.5,59.85,0,NKE
2017-08-10 09:30:00,59.54,59.6,59.15,59.27,1043456,NKE
2017-08-10 10:30:00,59.27,59.37,59.18,59.36,572899,NKE
2017-08-10 11:30:00,59.36,59.54,59.32,59.39,539296,NKE
2017-08-10 12:30:00,59.4,59.45,59.29,59.41,495964,NKE
2017-08-10 13:30:00,59.42,59.58,59.4,59.55,519005,NKE
2017-08-10 14:30:00,59.56,59.68,59.26,59.28,737489,NKE
2017-08-10 15:30:00,59.28,59.31,59.06,59.08,1118469,NKE
2017-08-10 16:00:00,59.07,59.33,58.95,59.07,0,NKE
2017-08-10 17:00:00,59.06,59.06,58.9,58.95,0,NKE
2017-08-10 18:00:00,59.0,59.0,58.96,58.96,0,NKE
2017-08-10 19:00:00,58.97,58.97,58.97,58.97,0,NKE
2017-08-11 05:00:00,58.6,58.6,58.6,58.6,0,NKE
2017-08-11 06:00:00,58.75,58.77,58.75,58.76,0,NKE
2017-08-11 08:00:00,58.75,59.0,58.75,58.79,0,NKE
2017-08-11 09:00:00,59.0,59.0,58.69,58.69,0,NKE
2017-08-11 09:30:00,58.84,59.16,58.61,58.96,1317514,NKE
2017-08-11 10:30:00,58.99,59.2,58.92,59.06,724184,NKE
2017-08-11 11:30:00,59.07,59.26,59.06,59.21,371909,NKE
2017-08-11 12:30:00,59.21,59.25,59.14,59.16,268008,NKE
2017-08-11 13:30:00,59.17,59.22,58.93,58.96,591017,NKE
2017-08-11 14:30:00,58.96,59.04,58.85,59.03,606787,NKE
2017-08-11 15:30:00,59.03,59.07,58.94,58.95,602777,NKE
2017-08-11 16:00:00,58.97,59.01,58.97,58.97,0,NKE
2017-08-11 17:00:00,58.92,59.13,58.92,59.13,0,NKE
2017-08-14 07:00:00,59.13,59.13,59.13,59.13,0,NKE
2017-08-14 08:00:00,59.13,59.74,58.92,59.74,0,NKE
2017-08-14 09:00:00,59.0,59.69,58.76,59.12,0,NKE
2017-08-14 09:30:00,59.16,59.88,59.15,59.87,1041050,NKE
2017-08-14 10:30:00,59.87,59.94,59.77,59.89,775149,NKE
2017-08-14 11:30:00,59.91,59.99,59.86,59.91,499807,NKE
2017-08-14 12:30:00,59.92,59.92,59.81,59.83,377848,NKE
2017-08-14 13:30:00,59.83,59.91,59.79,59.8,326320,NKE
2017-08-14 14:30:00,59.81,59.85,59.74,59.85,517467,NKE
