Date,Open,High,Low,Close,Volume,Name
2017-11-17 09:30:00,,,,,,NLOK
2018-02-21 09:30:00,,,,,,NLOK
2018-06-07 09:30:00,,,,,,NLOK
2018-08-17 09:30:00,,,,,,NLOK
2018-11-16 09:30:00,,,,,,NLOK
2019-02-15 09:30:00,,,,,,NLOK
2019-06-07 09:30:00,,,,,,NLOK
2019-08-23 09:30:00,,,,,,NLOK
2019-11-04 16:00:00,23.75,23.75,23.75,23.75,0.0,NLOK
2019-11-05 07:00:00,23.94,23.94,23.94,23.94,0.0,NLOK
2019-11-05 08:00:00,24.01,24.01,23.75,23.75,0.0,NLOK
2019-11-05 09:00:00,23.9,23.9,23.9,23.9,0.0,NLOK
2019-11-05 09:30:00,23.87,24.04,23.73,23.99,1303630.0,NLOK
2019-11-05 10:30:00,23.99,24.04,23.88,23.95,596381.0,NLOK
2019-11-05 11:30:00,23.94,23.97,23.84,23.88,342650.0,NLOK
2019-11-05 12:30:00,23.88,23.91,23.82,23.85,172934.0,NLOK
2019-11-05 13:30:00,23.85,23.94,23.8,23.9,352655.0,NLOK
2019-11-05 14:30:00,23.9,24.32,23.85,24.29,1211054.0,NLOK
2019-11-05 15:30:00,24.28,24.49,24.19,24.2,1408670.0,NLOK
2019-11-05 16:00:00,24.19,24.34,24.19,24.25,0.0,NLOK
2019-11-05 18:00:00,24.4,24.4,24.19,24.2,0.0,NLOK
2019-11-06 09:00:00,24.34,24.34,24.28,24.28,0.0,NLOK
2019-11-06 09:30:00,24.21,24.29,23.95,24.03,1085417.0,NLOK
2019-11-06 10:30:00,24.04,24.07,23.91,24.01,787957.0,NLOK
2019-11-06 11:30:00,24.01,24.04,23.89,23.94,325508.0,NLOK
2019-11-06 12:30:00,23.94,23.98,23.86,23.98,328354.0,NLOK
2019-11-06 13:30:00,23.98,24.02,23.93,24.01,255899.0,NLOK
2019-11-06 14:30:00,24.01,24.14,23.95,24.07,1623719.0,NLOK
2019-11-06 15:30:00,24.06,24.08,23.98,24.0,789204.0,NLOK
2019-11-06 16:00:00,24.0,24.23,24.0,24.0,0.0,NLOK
2019-11-06 17:00:00,24.0,24.0,24.0,24.0,0.0,NLOK
2019-11-06 18:00:00,24.0,24.0,24.0,24.0,0.0,NLOK
2019-11-07 09:00:00,24.1,24.1,24.05,24.05,0.0,NLOK
2019-11-07 09:30:00,24.0,24.1,23.89,23.96,599099.0,NLOK
2019-11-07 10:30:00,23.97,24.38,23.96,24.34,1098287.0,NLOK
2019-11-07 11:30:00,24.34,24.36,24.25,24.34,421455.0,NLOK
2019-11-07 12:30:00,24.34,24.37,24.28,24.32,474322.0,NLOK
2019-11-07 13:30:00,24.32,24.41,24.23,24.37,693197.0,NLOK
2019-11-07 14:30:00,24.37,24.38,24.25,24.26,469071.0,NLOK
2019-11-07 15:30:00,24.26,24.37,24.24,24.35,809894.0,NLOK
2019-11-07 16:00:00,24.34,24.47,24.0,24.15,0.0,NLOK
2019-11-07 17:00:00,24.75,24.8,24.49,24.69,0.0,NLOK
2019-11-07 18:00:00,24.69,24.69,24.69,24.69,0.0,NLOK
2019-11-08 08:00:00,24.69,24.69,24.34,24.34,0.0,NLOK
2019-11-08 09:30:00,24.36,24.36,23.39,23.71,1664950.0,NLOK
2019-11-08 10:30:00,23.72,23.94,23.54,23.87,1063235.0,NLOK
2019-11-08 11:30:00,23.86,24.33,23.86,24.2,888163.0,NLOK
2019-11-08 12:30:00,24.2,24.25,24.1,24.2,482447.0,NLOK
2019-11-08 13:30:00,24.2,24.52,24.2,24.49,628582.0,NLOK
2019-11-08 14:30:00,24.49,24.9,24.48,24.75,961930.0,NLOK
2019-11-08 15:30:00,24.75,24.87,24.73,24.84,1359282.0,NLOK
2019-11-08 16:00:00,24.83,24.83,24.83,24.83,0.0,NLOK
2019-11-08 17:00:00,24.15,24.15,24.15,24.15,0.0,NLOK
2019-11-11 09:00:00,24.71,24.71,24.7,24.7,0.0,NLOK
2019-11-11 09:30:00,24.56,24.62,24.25,24.41,658764.0,NLOK
2019-11-11 10:30:00,24.42,24.42,24.11,24.15,393803.0,NLOK
2019-11-11 11:30:00,24.15,24.22,24.08,24.19,406742.0,NLOK
2019-11-11 12:30:00,24.2,24.39,24.17,24.34,672092.0,NLOK
2019-11-11 13:30:00,24.34,24.49,24.34,24.47,328760.0,NLOK
2019-11-11 14:30:00,24.47,24.56,24.35,24.35,470703.0,NLOK
2019-11-11 15:30:00,24.36,24.4,24.31,24.37,764200.0,NLOK
2019-11-11 16:00:00,24.35,24.35,24.35,24.35,203296.0,NLOK
2019-11-11 17:00:00,24.35,24.35,24.35,24.35,0.0,NLOK
2019-11-12 09:30:00,24.38,24.55,24.34,24.42,554014.0,NLOK
2019-11-12 10:30:00,24.42,24.48,24.29,24.32,360882.0,NLOK
2019-11-12 11:30:00,24.32,24.35,24.27,24.28,367025.0,NLOK
2019-11-12 12:30:00,24.28,24.38,24.28,24.37,363263.0,NLOK
2019-11-12 13:30:00,24.36,24.46,24.13,24.16,509215.0,NLOK
2019-11-12 14:30:00,24.15,24.21,24.11,24.16,372891.0,NLOK
2019-11-12 15:30:00,24.16,24.24,24.16,24.2,411549.0,NLOK
2019-11-12 16:00:00,24.2,24.29,24.2,24.2,0.0,NLOK
2019-11-12 17:00:00,24.2,24.2,24.2,24.2,0.0,NLOK
2019-11-12 18:00:00,24.2,24.2,24.2,24.2,0.0,NLOK
2019-11-13 07:00:00,23.71,23.71,23.71,23.71,0.0,NLOK
2019-11-13 09:30:00,24.15,24.44,24.14,24.29,387858.0,NLOK
2019-11-13 10:30:00,24.28,24.48,24.26,24.43,338629.0,NLOK
2019-11-13 11:30:00,24.43,24.49,24.37,24.48,283014.0,NLOK
2019-11-13 12:30:00,24.48,24.54,24.46,24.48,272664.0,NLOK
2019-11-13 13:30:00,24.48,24.51,24.36,24.41,226140.0,NLOK
2019-11-13 14:30:00,24.41,24.53,24.36,24.51,277698.0,NLOK
2019-11-13 15:30:00,24.51,24.57,24.49,24.56,607286.0,NLOK
2019-11-13 16:00:00,24.57,24.57,24.45,24.57,0.0,NLOK
2019-11-13 17:00:00,24.44,24.44,24.44,24.44,0.0,NLOK
2019-11-13 18:00:00,24.84,24.84,24.64,24.64,0.0,NLOK
2019-11-14 09:30:00,24.46,24.5,24.28,24.4,347241.0,NLOK
2019-11-14 10:30:00,24.39,24.52,24.33,24.43,370205.0,NLOK
2019-11-14 11:30:00,24.43,24.52,24.33,24.48,778750.0,NLOK
2019-11-14 12:30:00,24.47,24.64,24.46,24.57,678420.0,NLOK
2019-11-14 13:30:00,24.57,24.57,24.44,24.5,849542.0,NLOK
2019-11-14 14:30:00,24.49,24.54,24.42,24.47,495225.0,NLOK
2019-11-14 15:30:00,24.47,24.59,24.47,24.52,669823.0,NLOK
2019-11-14 16:00:00,24.52,24.52,24.48,24.52,0.0,NLOK
2019-11-14 17:00:00,24.09,24.09,24.09,24.09,0.0,NLOK
2019-11-15 09:00:00,24.25,24.69,24.25,24.69,0.0,NLOK
2019-11-15 09:30:00,24.66,24.67,24.46,24.62,479868.0,NLOK
2019-11-15 10:30:00,24.62,24.83,24.6,24.75,620432.0,NLOK
2019-11-15 11:30:00,24.75,24.8,24.7,24.7,420159.0,NLOK
2019-11-15 12:30:00,24.7,24.8,24.68,24.76,233798.0,NLOK
2019-11-15 13:30:00,24.76,24.82,24.74,24.79,268855.0,NLOK
2019-11-15 14:30:00,24.8,24.85,24.77,24.78,516413.0,NLOK
2019-11-15 15:30:00,24.78,24.85,24.76,24.83,772748.0,NLOK
2019-11-15 16:00:00,24.83,24.84,24.83,24.83,0.0,NLOK
2019-11-18 09:30:00,24.85,24.9,24.46,24.47,564929.0,NLOK
2019-11-18 10:30:00,24.47,24.6,24.41,24.47,554543.0,NLOK
2019-11-18 11:30:00,24.48,24.59,24.48,24.5,276107.0,NLOK
2019-11-18 12:30:00,24.52,24.53,24.48,24.53,167882.0,NLOK
2019-11-18 13:30:00,24.53,24.62,24.52,24.59,204945.0,NLOK
2019-11-18 14:30:00,24.59,24.64,24.58,24.59,226386.0,NLOK
2019-11-18 15:30:00,24.59,24.59,24.54,24.56,428189.0,NLOK
2019-11-18 16:00:00,24.56,24.56,24.55,24.55,228283.0,NLOK
2019-11-19 08:00:00,24.35,24.35,24.35,24.35,0.0,NLOK
2019-11-19 09:30:00,24.59,24.6,24.48,24.58,255513.0,NLOK
2019-11-19 10:30:00,24.58,24.69,24.56,24.63,188340.0,NLOK
2019-11-19 11:30:00,24.64,24.73,24.63,24.71,180776.0,NLOK
2019-11-19 12:30:00,24.7,24.8,24.7,24.75,208207.0,NLOK
2019-11-19 13:30:00,24.75,24.79,24.73,24.75,209041.0,NLOK
2019-11-19 14:30:00,24.76,24.78,24.7,24.71,265640.0,NLOK
2019-11-19 15:30:00,24.7,24.78,24.67,24.7,499634.0,NLOK
2019-11-19 16:00:00,24.7,24.7,24.7,24.7,0.0,NLOK
2019-11-19 17:00:00,24.7,24.7,24.7,24.7,0.0,NLOK
2019-11-20 09:30:00,24.61,24.75,24.53,24.74,233152.0,NLOK
2019-11-20 10:30:00,24.75,24.77,24.66,24.76,124848.0,NLOK
2019-11-20 11:30:00,24.75,24.78,24.67,24.73,118242.0,NLOK
2019-11-20 12:30:00,24.73,24.74,24.5,24.55,292927.0,NLOK
2019-11-20 13:30:00,24.55,24.58,24.52,24.58,221079.0,NLOK
2019-11-20 14:30:00,24.59,24.61,24.53,24.53,237287.0,NLOK
2019-11-20 15:30:00,24.53,24.61,24.51,24.55,544426.0,NLOK
2019-11-20 16:00:00,24.56,24.6,24.52,24.6,0.0,NLOK
2019-11-20 17:00:00,24.53,24.53,24.52,24.52,0.0,NLOK
2019-11-20 18:00:00,24.52,24.52,24.52,24.52,0.0,NLOK
2019-11-21 09:30:00,24.7,24.71,24.51,24.63,228914.0,NLOK
2019-11-21 10:30:00,24.64,24.66,24.58,24.63,196421.0,NLOK
2019-11-21 11:30:00,24.62,24.63,24.55,24.57,281399.0,NLOK
2019-11-21 12:30:00,24.57,24.6,24.51,24.52,142940.0,NLOK
2019-11-21 13:30:00,24.52,24.54,24.49,24.51,206571.0,NLOK
2019-11-21 14:30:00,24.5,24.57,24.5,24.56,235736.0,NLOK
2019-11-21 15:30:00,24.56,24.59,24.52,24.57,391374.0,NLOK
2019-11-21 16:00:00,24.56,25.56,24.56,25.56,0.0,NLOK
2019-11-22 08:00:00,24.56,24.56,24.56,24.56,0.0,NLOK
2019-11-22 09:30:00,24.47,24.68,24.43,24.45,424154.0,NLOK
2019-11-22 10:30:00,24.45,24.54,24.38,24.53,315856.0,NLOK
2019-11-22 11:30:00,24.54,24.6,24.42,24.48,207106.0,NLOK
2019-11-22 12:30:00,24.48,24.48,24.4,24.43,139000.0,NLOK
2019-11-22 13:30:00,24.43,24.48,24.4,24.47,173455.0,NLOK
2019-11-22 14:30:00,24.48,24.56,24.47,24.51,324845.0,NLOK
2019-11-22 15:30:00,24.5,24.58,24.5,24.51,630586.0,NLOK
2019-11-22 16:00:00,24.52,24.52,24.52,24.52,0.0,NLOK
2019-11-25 09:30:00,24.56,24.89,24.5,24.88,456362.0,NLOK
2019-11-25 10:30:00,24.88,24.92,24.84,24.9,365318.0,NLOK
2019-11-25 11:30:00,24.9,24.9,24.8,24.88,365527.0,NLOK
2019-11-25 12:30:00,24.88,24.89,24.84,24.89,157851.0,NLOK
2019-11-25 13:30:00,24.89,24.89,24.84,24.86,134159.0,NLOK
2019-11-25 14:30:00,24.86,24.9,24.85,24.88,191690.0,NLOK
2019-11-25 15:30:00,24.88,24.92,24.88,24.91,624249.0,NLOK
2019-11-25 16:00:00,24.91,24.91,24.91,24.91,0.0,NLOK
2019-11-26 09:30:00,24.88,24.95,24.85,24.9,519162.0,NLOK
2019-11-26 10:30:00,24.9,24.94,24.88,24.91,226532.0,NLOK
2019-11-26 11:30:00,24.91,24.91,24.87,24.91,197619.0,NLOK
2019-11-26 12:30:00,24.9,24.96,24.88,24.89,127479.0,NLOK
2019-11-26 13:30:00,24.89,24.91,24.88,24.91,148510.0,NLOK
2019-11-26 14:30:00,24.91,24.95,24.91,24.94,283950.0,NLOK
2019-11-26 15:30:00,24.94,25.0,24.93,25.0,786150.0,NLOK
2019-11-26 16:00:00,25.0,25.0,24.95,25.0,0.0,NLOK
2019-11-27 09:30:00,25.0,25.0,24.85,24.89,691488.0,NLOK
2019-11-27 10:30:00,24.88,24.9,24.82,24.85,306726.0,NLOK
2019-11-27 11:30:00,24.86,24.9,24.76,24.76,271535.0,NLOK
2019-11-27 12:30:00,24.76,24.83,24.76,24.79,246836.0,NLOK
2019-11-27 13:30:00,24.78,24.82,24.75,24.81,615373.0,NLOK
2019-11-27 14:30:00,24.81,24.83,24.78,24.8,315339.0,NLOK
2019-11-27 15:30:00,24.8,24.92,24.79,24.92,364593.0,NLOK
2019-11-27 16:00:00,24.92,24.92,24.86,24.86,0.0,NLOK
2019-11-29 09:30:00,24.87,24.94,24.7,24.9,290057.0,NLOK
2019-11-29 10:30:00,24.9,24.92,24.84,24.87,271954.0,NLOK
2019-11-29 11:30:00,24.87,24.9,24.84,24.87,252316.0,NLOK
2019-11-29 13:00:00,24.88,24.92,24.84,24.9,0.0,NLOK
2019-12-02 09:00:00,24.9,24.9,24.9,24.9,0.0,NLOK
2019-12-02 09:30:00,24.77,25.06,24.75,24.92,1159324.0,NLOK
2019-12-02 10:30:00,24.91,25.08,24.84,25.04,742150.0,NLOK
2019-12-02 11:30:00,25.03,25.23,25.0,25.14,453416.0,NLOK
2019-12-02 12:30:00,25.14,25.19,24.96,25.06,736881.0,NLOK
2019-12-02 13:30:00,25.06,25.08,24.94,25.03,770591.0,NLOK
2019-12-02 14:30:00,25.04,25.07,24.97,25.02,791861.0,NLOK
2019-12-02 15:30:00,25.02,25.07,24.96,24.99,1005349.0,NLOK
2019-12-02 16:00:00,24.99,24.99,24.99,24.99,375569.0,NLOK
2019-12-02 17:00:00,25.01,25.01,25.01,25.01,0.0,NLOK
2019-12-03 08:00:00,24.31,24.9,24.31,24.9,0.0,NLOK
2019-12-03 09:00:00,24.9,24.9,24.5,24.72,0.0,NLOK
2019-12-03 09:30:00,24.67,24.87,24.56,24.78,647161.0,NLOK
2019-12-03 10:30:00,24.78,24.81,24.63,24.71,1287201.0,NLOK
2019-12-03 11:30:00,24.71,24.78,24.7,24.76,643370.0,NLOK
2019-12-03 12:30:00,24.76,24.85,24.72,24.78,796836.0,NLOK
