Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:30:00,50.45,50.45,49.8,49.91,0,NWL
2017-08-10 10:30:00,49.9,50.01,49.8,49.84,353911,NWL
2017-08-10 11:30:00,49.84,50.12,49.79,50.09,387985,NWL
2017-08-10 12:30:00,50.09,50.23,49.96,50.06,488141,NWL
2017-08-10 13:30:00,50.06,50.12,49.88,50.06,260264,NWL
2017-08-10 14:30:00,50.07,50.3,50.07,50.3,558786,NWL
2017-08-10 15:30:00,50.29,50.29,50.16,50.2,691492,NWL
2017-08-10 16:00:00,50.2,50.2,50.07,50.07,0,NWL
2017-08-10 17:00:00,50.19,50.19,50.19,50.19,0,NWL
2017-08-11 09:30:00,50.03,50.35,49.98,50.16,277317,NWL
2017-08-11 10:30:00,50.14,50.38,50.08,50.08,149758,NWL
2017-08-11 11:30:00,50.1,50.23,50.06,50.22,153286,NWL
2017-08-11 12:30:00,50.21,50.21,50.09,50.2,147745,NWL
2017-08-11 13:30:00,50.2,50.27,50.16,50.19,197627,NWL
2017-08-11 14:30:00,50.18,50.2,49.96,50.01,581689,NWL
2017-08-11 15:30:00,50.01,50.08,49.96,50.01,446180,NWL
2017-08-11 16:00:00,50.0,50.1,50.0,50.0,0,NWL
2017-08-14 09:30:00,50.49,50.52,50.2,50.22,242175,NWL
2017-08-14 10:30:00,50.23,50.42,50.23,50.29,279645,NWL
2017-08-14 11:30:00,50.29,50.3,50.1,50.13,243699,NWL
2017-08-14 12:30:00,50.12,50.15,50.07,50.08,136692,NWL
2017-08-14 13:30:00,50.06,50.1,49.96,49.97,220838,NWL
2017-08-14 14:30:00,49.98,50.15,49.94,50.15,461807,NWL
2017-08-14 15:30:00,50.16,50.23,50.08,50.08,471752,NWL
2017-08-14 16:00:00,50.1,50.14,50.08,50.1,0,NWL
2017-08-15 09:30:00,50.19,50.19,49.76,49.98,396371,NWL
2017-08-15 10:30:00,49.97,50.01,49.87,49.91,278320,NWL
2017-08-15 11:30:00,49.92,49.95,49.86,49.91,209789,NWL
2017-08-15 12:30:00,49.91,50.0,49.88,49.91,321519,NWL
2017-08-15 13:30:00,49.91,50.2,49.91,50.15,454871,NWL
2017-08-15 14:30:00,50.16,50.29,50.1,50.24,934296,NWL
2017-08-15 15:30:00,50.23,50.25,50.17,50.2,743261,NWL
2017-08-15 16:00:00,50.21,50.21,50.04,50.21,0,NWL
2017-08-15 17:00:00,50.22,50.22,50.22,50.22,0,NWL
2017-08-16 08:00:00,50.57,50.57,50.57,50.57,0,NWL
2017-08-16 09:30:00,50.55,50.85,50.49,50.53,681257,NWL
2017-08-16 10:30:00,50.53,50.59,50.39,50.42,479110,NWL
2017-08-16 11:30:00,50.45,50.74,50.45,50.74,381219,NWL
2017-08-16 12:30:00,50.74,50.82,50.6,50.67,481289,NWL
2017-08-16 13:30:00,50.69,50.69,50.59,50.6,449429,NWL
2017-08-16 14:30:00,50.6,50.69,50.58,50.6,400783,NWL
2017-08-16 15:30:00,50.6,50.78,50.58,50.73,681425,NWL
2017-08-16 16:00:00,50.74,50.74,50.62,50.74,0,NWL
2017-08-17 09:30:00,50.53,50.68,50.37,50.4,413202,NWL
