Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:00:00,109.3,109.79,109.3,109.79,0,PKG
2017-08-10 09:30:00,109.46,109.78,108.08,108.29,98122,PKG
2017-08-10 10:30:00,108.24,108.26,107.59,107.65,84437,PKG
2017-08-10 11:30:00,107.7,107.93,107.54,107.92,62814,PKG
2017-08-10 12:30:00,107.88,107.97,107.53,107.89,53125,PKG
2017-08-10 13:30:00,107.86,107.89,107.32,107.64,75305,PKG
2017-08-10 14:30:00,107.62,107.76,107.43,107.58,83503,PKG
2017-08-10 15:30:00,107.65,107.65,107.17,107.32,160964,PKG
2017-08-10 16:00:00,107.33,107.33,107.33,107.33,0,PKG
2017-08-10 18:00:00,107.33,107.33,107.33,107.33,0,PKG
2017-08-11 09:30:00,107.03,108.03,106.92,107.78,209986,PKG
2017-08-11 10:30:00,107.72,107.89,107.28,107.53,408134,PKG
2017-08-11 11:30:00,107.54,107.8,107.42,107.59,142919,PKG
2017-08-11 12:30:00,107.64,107.9,107.54,107.54,202477,PKG
2017-08-11 13:30:00,107.49,107.7,107.42,107.46,141565,PKG
2017-08-11 14:30:00,107.4,107.5,107.14,107.4,196262,PKG
2017-08-11 15:30:00,107.43,107.59,107.31,107.48,157665,PKG
2017-08-11 16:00:00,107.52,107.55,107.52,107.52,0,PKG
2017-08-14 08:00:00,108.25,108.25,108.25,108.25,0,PKG
2017-08-14 09:30:00,108.25,108.72,108.14,108.5,173715,PKG
2017-08-14 10:30:00,108.51,109.36,108.51,109.31,119650,PKG
2017-08-14 11:30:00,109.35,109.78,109.33,109.63,73829,PKG
2017-08-14 12:30:00,109.65,109.89,109.29,109.33,58027,PKG
2017-08-14 13:30:00,109.35,109.5,109.26,109.39,55770,PKG
2017-08-14 14:30:00,109.37,109.42,109.03,109.42,76915,PKG
2017-08-14 15:30:00,109.44,109.46,109.11,109.13,115497,PKG
2017-08-14 16:00:00,109.13,109.13,109.06,109.13,0,PKG
2017-08-14 18:00:00,109.13,109.13,109.13,109.13,0,PKG
2017-08-15 09:30:00,109.44,110.2,109.15,109.93,87870,PKG
2017-08-15 10:30:00,109.89,109.89,109.5,109.71,67904,PKG
2017-08-15 11:30:00,109.69,109.69,108.93,108.95,104773,PKG
2017-08-15 12:30:00,108.93,109.04,108.73,108.89,82441,PKG
2017-08-15 13:30:00,108.83,109.19,108.83,109.15,38010,PKG
2017-08-15 14:30:00,109.17,109.27,108.97,109.14,80033,PKG
2017-08-15 15:30:00,109.11,109.35,109.11,109.28,154633,PKG
2017-08-15 16:00:00,109.29,109.3,109.29,109.29,0,PKG
2017-08-15 17:00:00,109.31,109.31,109.29,109.29,0,PKG
2017-08-16 08:00:00,109.37,109.37,109.37,109.37,0,PKG
2017-08-16 09:30:00,110.0,111.01,110.0,111.01,103678,PKG
2017-08-16 10:30:00,111.0,111.59,110.93,111.59,94240,PKG
2017-08-16 11:30:00,111.55,111.6,111.4,111.48,73144,PKG
2017-08-16 12:30:00,111.47,111.57,111.18,111.29,70808,PKG
2017-08-16 13:30:00,111.3,111.53,111.08,111.09,91168,PKG
2017-08-16 14:30:00,111.01,111.36,111.01,111.36,50843,PKG
2017-08-16 15:30:00,111.36,111.46,111.22,111.41,140843,PKG
2017-08-16 16:00:00,111.44,111.44,111.24,111.44,0,PKG
2017-08-16 17:00:00,111.44,111.44,111.44,111.44,0,PKG
2017-08-17 08:00:00,110.0,110.0,110.0,110.0,0,PKG
2017-08-17 09:00:00,111.44,111.44,111.44,111.44,0,PKG
2017-08-17 09:30:00,110.85,111.43,110.35,110.85,57607,PKG
2017-08-17 10:30:00,110.84,111.26,110.56,111.05,78502,PKG
2017-08-17 11:30:00,111.02,111.5,110.94,111.14,74533,PKG
2017-08-17 12:30:00,111.14,111.15,110.57,110.72,62557,PKG
2017-08-17 13:30:00,110.72,110.86,110.46,110.58,35171,PKG
2017-08-17 14:30:00,110.59,110.64,110.42,110.57,64457,PKG
2017-08-17 15:30:00,110.51,110.79,110.4,110.57,256293,PKG
2017-08-17 16:00:00,110.57,110.57,110.57,110.57,73533,PKG
2017-08-17 18:00:00,110.57,110.57,110.57,110.57,0,PKG
2017-08-18 09:30:00,110.87,110.87,109.72,110.43,113176,PKG
2017-08-18 10:30:00,110.38,110.84,110.35,110.84,67426,PKG
2017-08-18 11:30:00,110.87,110.95,110.35,110.53,65953,PKG
2017-08-18 12:30:00,110.47,110.75,110.06,110.07,66496,PKG
2017-08-18 13:30:00,110.04,110.14,109.75,110.11,84707,PKG
2017-08-18 14:30:00,110.14,110.32,110.09,110.24,81314,PKG
2017-08-18 15:30:00,110.28,110.36,109.98,109.99,144013,PKG
2017-08-18 16:00:00,109.99,110.25,109.99,110.01,0,PKG
2017-08-18 17:00:00,108.89,108.89,108.89,108.89,0,PKG
2017-08-21 09:30:00,109.5,109.73,108.73,108.81,76335,PKG
2017-08-21 10:30:00,108.77,109.18,108.77,109.11,47062,PKG
2017-08-21 11:30:00,109.1,109.12,108.46,108.46,62845,PKG
2017-08-21 12:30:00,108.52,108.52,107.54,107.59,118890,PKG
2017-08-21 13:30:00,107.56,107.6,106.82,106.82,132919,PKG
2017-08-21 14:30:00,106.87,106.9,106.52,106.8,259942,PKG
2017-08-21 15:30:00,106.8,106.8,106.49,106.5,227863,PKG
2017-08-21 16:00:00,106.51,107.35,106.51,106.51,0,PKG
2017-08-21 17:00:00,105.86,105.86,105.86,105.86,0,PKG
2017-08-22 09:30:00,106.61,107.76,106.61,107.42,142423,PKG
2017-08-22 10:30:00,107.4,107.97,107.39,107.95,84554,PKG
2017-08-22 11:30:00,108.0,108.52,108.0,108.24,150411,PKG
2017-08-22 12:30:00,108.21,108.55,108.11,108.49,61726,PKG
2017-08-22 13:30:00,108.46,108.76,108.21,108.74,72264,PKG
2017-08-22 14:30:00,108.79,108.91,108.68,108.83,84791,PKG
2017-08-22 15:30:00,108.84,108.86,108.56,108.78,197200,PKG
2017-08-22 16:00:00,108.79,108.79,108.26,108.79,0,PKG
2017-08-22 17:00:00,108.81,108.81,108.79,108.79,0,PKG
2017-08-23 09:30:00,108.34,109.21,108.11,109.2,77932,PKG
2017-08-23 10:30:00,109.2,109.38,108.97,109.26,57645,PKG
2017-08-23 11:30:00,109.23,109.27,109.1,109.18,37372,PKG
2017-08-23 12:30:00,109.14,109.35,109.03,109.21,53475,PKG
2017-08-23 13:30:00,109.28,109.86,109.11,109.49,76158,PKG
2017-08-23 14:30:00,109.49,109.58,109.13,109.13,80427,PKG
2017-08-23 15:30:00,109.15,109.29,109.1,109.18,105331,PKG
2017-08-23 16:00:00,109.16,109.18,109.16,109.16,0,PKG
2017-08-23 17:00:00,109.16,109.16,109.16,109.16,0,PKG
2017-08-23 18:00:00,109.17,109.17,109.17,109.17,0,PKG
2017-08-24 07:00:00,110.0,110.0,110.0,110.0,0,PKG
2017-08-24 08:00:00,109.16,109.16,109.16,109.16,0,PKG
2017-08-24 09:30:00,109.74,110.29,109.39,109.93,85305,PKG
2017-08-24 10:30:00,109.94,110.16,109.62,109.68,62055,PKG
2017-08-24 11:30:00,109.65,109.84,109.45,109.82,54037,PKG
2017-08-24 12:30:00,109.83,110.13,109.79,109.9,48004,PKG
2017-08-24 13:30:00,109.85,109.95,109.64,109.77,75898,PKG
2017-08-24 14:30:00,109.69,110.16,109.68,110.13,92039,PKG
2017-08-24 15:30:00,110.1,110.18,110.01,110.1,140434,PKG
2017-08-24 16:00:00,110.12,110.12,110.12,110.12,0,PKG
2017-08-24 18:00:00,111.0,111.0,111.0,111.0,0,PKG
2017-08-25 09:30:00,110.55,110.97,110.12,110.19,62081,PKG
2017-08-25 10:30:00,110.28,110.32,109.93,110.31,56594,PKG
2017-08-25 11:30:00,110.25,110.59,110.02,110.59,69776,PKG
2017-08-25 12:30:00,110.59,110.73,110.5,110.67,39474,PKG
2017-08-25 13:30:00,110.65,110.71,110.46,110.53,46963,PKG
2017-08-25 14:30:00,110.55,110.69,110.4,110.65,54121,PKG
2017-08-25 15:30:00,110.66,110.67,110.33,110.36,121635,PKG
2017-08-25 16:00:00,110.36,110.36,110.36,110.36,0,PKG
2017-08-28 09:30:00,110.5,110.72,109.74,109.74,70597,PKG
2017-08-28 10:30:00,109.75,109.78,109.3,109.43,47503,PKG
2017-08-28 11:30:00,109.34,109.43,109.09,109.09,31345,PKG
2017-08-28 12:30:00,109.14,109.19,108.93,108.96,49162,PKG
2017-08-28 13:30:00,108.99,109.21,108.97,109.04,72483,PKG
2017-08-28 14:30:00,109.07,109.34,108.99,109.16,115870,PKG
2017-08-28 15:30:00,109.19,109.21,108.93,109.07,132057,PKG
2017-08-28 16:00:00,109.06,109.28,109.06,109.06,0,PKG
2017-08-28 17:00:00,109.06,109.06,109.06,109.06,0,PKG
2017-08-29 09:30:00,108.43,108.5,108.0,108.24,87504,PKG
2017-08-29 10:30:00,108.29,108.5,108.19,108.31,48918,PKG
2017-08-29 11:30:00,108.29,108.63,108.19,108.56,100806,PKG
2017-08-29 12:30:00,108.52,108.71,108.43,108.59,79243,PKG
2017-08-29 13:30:00,108.57,108.64,108.41,108.6,66211,PKG
2017-08-29 14:30:00,108.67,108.81,108.53,108.76,79195,PKG
2017-08-29 15:30:00,108.74,108.74,108.34,108.51,123084,PKG
2017-08-29 16:00:00,108.5,108.5,108.48,108.48,0,PKG
2017-08-30 09:30:00,108.94,109.99,108.78,109.96,120529,PKG
2017-08-30 10:30:00,110.03,110.34,109.98,110.31,44191,PKG
2017-08-30 11:30:00,110.32,110.45,110.1,110.28,53193,PKG
2017-08-30 12:30:00,110.29,110.5,110.1,110.43,58976,PKG
2017-08-30 13:30:00,110.5,110.82,110.4,110.74,95573,PKG
2017-08-30 14:30:00,110.73,111.07,110.73,110.99,81862,PKG
2017-08-30 15:30:00,110.97,111.15,110.9,111.12,147915,PKG
2017-08-30 16:00:00,111.14,111.14,110.46,111.14,0,PKG
2017-08-31 09:30:00,111.43,112.62,111.31,112.51,116048,PKG
2017-08-31 10:30:00,112.53,112.57,112.16,112.43,90404,PKG
2017-08-31 11:30:00,112.46,112.5,112.09,112.17,69807,PKG
2017-08-31 12:30:00,112.16,112.2,111.94,112.08,54517,PKG
2017-08-31 13:30:00,112.12,112.44,111.91,112.44,58940,PKG
2017-08-31 14:30:00,112.41,112.71,112.33,112.36,101871,PKG
2017-08-31 15:30:00,112.37,112.75,112.31,112.43,211182,PKG
2017-08-31 16:00:00,112.41,112.42,111.14,112.41,0,PKG
2017-09-01 09:30:00,112.71,113.47,112.71,113.16,50703,PKG
2017-09-01 10:30:00,113.11,113.32,112.9,112.9,51027,PKG
2017-09-01 11:30:00,112.93,113.09,112.79,113.01,39391,PKG
2017-09-01 12:30:00,112.92,113.33,112.92,113.33,35788,PKG
2017-09-01 13:30:00,113.44,113.56,113.28,113.36,37194,PKG
2017-09-01 14:30:00,113.36,113.54,113.32,113.52,57449,PKG
2017-09-01 15:30:00,113.53,113.62,113.45,113.46,96491,PKG
2017-09-01 16:00:00,113.45,113.45,113.45,113.45,66499,PKG
2017-09-05 09:30:00,113.44,113.63,112.4,112.46,0,PKG
2017-09-05 10:30:00,112.48,112.87,112.15,112.85,68938,PKG
2017-09-05 11:30:00,112.9,113.01,112.22,112.22,62863,PKG
2017-09-05 12:30:00,112.08,112.15,111.47,111.74,67402,PKG
2017-09-05 13:30:00,111.83,112.04,111.62,112.04,81191,PKG
2017-09-05 14:30:00,112.0,112.17,111.87,112.08,102151,PKG
2017-09-05 15:30:00,112.13,112.27,111.74,111.88,142666,PKG
2017-09-05 16:00:00,111.89,112.14,111.89,112.14,0,PKG
2017-09-06 09:30:00,112.53,112.67,111.64,111.64,59196,PKG
2017-09-06 10:30:00,111.64,111.66,110.87,110.95,64727,PKG
2017-09-06 11:30:00,110.77,111.07,110.72,111.07,47034,PKG
2017-09-06 12:30:00,111.08,111.19,110.87,110.88,36327,PKG
2017-09-06 13:30:00,110.9,111.19,110.85,111.16,41618,PKG
2017-09-06 14:30:00,111.13,111.68,111.13,111.65,47686,PKG
2017-09-06 15:30:00,111.65,111.71,111.51,111.64,113824,PKG
2017-09-06 16:00:00,111.63,112.18,111.41,111.63,0,PKG
2017-09-07 09:30:00,111.74,112.0,111.18,111.65,61611,PKG
2017-09-07 10:30:00,111.73,112.07,111.6,111.8,48635,PKG
2017-09-07 11:30:00,111.72,112.4,111.63,112.21,63124,PKG
2017-09-07 12:30:00,112.21,112.36,112.11,112.18,38488,PKG
2017-09-07 13:30:00,112.14,112.54,112.13,112.54,146777,PKG
2017-09-07 14:30:00,112.64,112.82,112.35,112.36,97679,PKG
2017-09-07 15:30:00,112.33,112.39,112.2,112.3,112163,PKG
2017-09-07 16:00:00,112.28,112.28,112.22,112.28,0,PKG
2017-09-08 09:30:00,112.41,113.7,112.23,113.36,114689,PKG
2017-09-08 10:30:00,113.19,113.69,113.19,113.39,63835,PKG
2017-09-08 11:30:00,113.41,114.11,113.41,114.02,69816,PKG
2017-09-08 12:30:00,114.09,114.18,113.9,114.15,31574,PKG
2017-09-08 13:30:00,114.1,114.43,114.04,114.07,162712,PKG
2017-09-08 14:30:00,114.09,114.13,113.79,113.82,102927,PKG
2017-09-08 15:30:00,113.77,113.82,113.64,113.82,138202,PKG
2017-09-08 16:00:00,113.79,113.79,113.74,113.78,0,PKG
2017-09-11 09:30:00,113.97,114.78,113.84,114.03,66624,PKG
2017-09-11 10:30:00,114.1,114.65,114.05,114.61,85473,PKG
2017-09-11 11:30:00,114.6,115.2,114.5,115.17,206484,PKG
2017-09-11 12:30:00,115.16,116.49,115.06,116.4,68354,PKG
2017-09-11 13:30:00,116.17,116.67,115.77,116.6,166058,PKG
2017-09-11 14:30:00,116.62,117.43,116.47,117.33,194963,PKG
2017-09-11 15:30:00,117.3,117.3,116.48,116.81,380459,PKG
2017-09-11 16:00:00,116.8,116.8,116.1,116.8,0,PKG
2017-09-11 17:00:00,116.8,116.8,116.8,116.8,0,PKG
2017-09-12 08:00:00,116.8,116.8,116.8,116.8,0,PKG
2017-09-12 09:00:00,117.53,118.0,117.53,118.0,0,PKG
2017-09-12 09:30:00,117.65,118.93,117.65,118.38,148206,PKG
2017-09-12 10:30:00,118.17,118.17,117.55,117.57,99922,PKG
2017-09-12 11:30:00,117.59,117.6,117.22,117.5,77577,PKG
2017-09-12 12:30:00,117.52,117.61,117.12,117.12,54760,PKG
2017-09-12 13:30:00,117.13,117.49,117.09,117.46,65864,PKG
2017-09-12 14:30:00,117.49,118.38,117.49,118.32,132730,PKG
2017-09-12 15:30:00,118.29,118.49,118.03,118.25,283856,PKG
2017-09-12 16:00:00,118.27,118.27,118.05,118.27,0,PKG
2017-09-12 17:00:00,118.27,118.27,118.27,118.27,0,PKG
2017-09-13 09:00:00,117.16,117.16,117.16,117.16,0,PKG
2017-09-13 09:30:00,117.48,117.96,116.41,116.41,63956,PKG
2017-09-13 10:30:00,116.38,116.4,115.72,115.86,96872,PKG
2017-09-13 11:30:00,115.85,116.23,115.84,116.19,56946,PKG
2017-09-13 12:30:00,116.22,117.26,116.17,117.21,86203,PKG
2017-09-13 13:30:00,117.24,117.66,117.04,117.51,98231,PKG
2017-09-13 14:30:00,117.57,117.57,116.34,116.35,159026,PKG
2017-09-13 15:30:00,116.38,116.79,116.38,116.59,152050,PKG
2017-09-13 16:00:00,116.6,116.69,115.97,116.6,0,PKG
2017-09-14 09:00:00,116.6,116.6,116.6,116.6,0,PKG
2017-09-14 09:30:00,115.61,115.62,114.85,115.0,61111,PKG
2017-09-14 10:30:00,115.1,115.64,115.07,115.32,60911,PKG
2017-09-14 11:30:00,115.33,115.9,115.31,115.51,59710,PKG
2017-09-14 12:30:00,115.55,116.0,115.55,116.0,39359,PKG
2017-09-14 13:30:00,116.01,116.01,115.83,115.87,56070,PKG
2017-09-14 14:30:00,115.86,115.99,115.57,115.67,63247,PKG
2017-09-14 15:30:00,115.67,115.84,115.56,115.84,89855,PKG
2017-09-14 16:00:00,115.8,115.8,115.71,115.8,0,PKG
2017-09-15 09:30:00,115.69,115.98,114.55,114.71,191682,PKG
2017-09-15 10:30:00,114.8,115.3,114.7,115.21,55994,PKG
2017-09-15 11:30:00,115.32,115.78,115.32,115.71,43002,PKG
2017-09-15 12:30:00,115.73,115.83,115.62,115.66,47188,PKG
2017-09-15 13:30:00,115.69,115.73,115.58,115.65,46871,PKG
2017-09-15 14:30:00,115.58,115.93,115.47,115.81,92861,PKG
2017-09-15 15:30:00,115.77,115.94,115.62,115.87,215365,PKG
2017-09-15 16:00:00,115.88,115.89,115.78,115.88,0,PKG
2017-09-18 09:00:00,116.0,116.0,115.88,115.88,0,PKG
2017-09-18 09:30:00,116.21,117.19,115.92,116.15,101935,PKG
2017-09-18 10:30:00,116.26,116.31,115.95,116.31,54616,PKG
2017-09-18 11:30:00,116.36,116.54,116.16,116.48,67972,PKG
2017-09-18 12:30:00,116.48,116.67,116.45,116.65,57329,PKG
2017-09-18 13:30:00,116.67,116.82,116.35,116.35,104417,PKG
2017-09-18 14:30:00,116.36,116.63,116.32,116.42,92341,PKG
2017-09-18 15:30:00,116.4,116.56,116.16,116.23,124571,PKG
2017-09-18 16:00:00,116.23,116.34,116.12,116.22,0,PKG
2017-09-19 09:30:00,116.79,116.79,115.46,115.83,69978,PKG
2017-09-19 10:30:00,115.82,116.56,115.71,116.54,72747,PKG
2017-09-19 11:30:00,116.49,117.07,116.44,116.71,85059,PKG
2017-09-19 12:30:00,116.62,116.85,116.52,116.64,56843,PKG
2017-09-19 13:30:00,116.6,117.1,116.6,116.98,55531,PKG
2017-09-19 14:30:00,116.98,117.55,116.98,117.55,91153,PKG
2017-09-19 15:30:00,117.52,117.52,117.03,117.23,191981,PKG
2017-09-19 16:00:00,117.26,117.26,117.01,117.26,0,PKG
2017-09-20 09:30:00,117.28,118.31,117.28,117.93,84527,PKG
2017-09-20 10:30:00,117.85,118.65,117.85,118.52,67973,PKG
2017-09-20 11:30:00,118.52,118.73,118.36,118.44,50108,PKG
2017-09-20 12:30:00,118.46,118.79,118.37,118.79,61680,PKG
2017-09-20 13:30:00,118.74,118.89,118.5,118.8,111423,PKG
2017-09-20 14:30:00,118.79,119.27,118.71,119.21,93688,PKG
2017-09-20 15:30:00,119.24,119.42,119.19,119.26,154593,PKG
2017-09-20 16:00:00,119.28,119.28,118.83,119.28,0,PKG
2017-09-21 09:30:00,119.19,119.26,118.81,118.81,49629,PKG
2017-09-21 10:30:00,118.87,119.18,118.67,118.71,51101,PKG
2017-09-21 11:30:00,118.63,118.78,118.61,118.69,32998,PKG
2017-09-21 12:30:00,118.68,118.84,118.6,118.6,31903,PKG
2017-09-21 13:30:00,118.63,118.75,118.58,118.66,42855,PKG
2017-09-21 14:30:00,118.65,118.78,118.52,118.78,64821,PKG
2017-09-21 15:30:00,118.74,118.97,118.69,118.82,92771,PKG
2017-09-21 16:00:00,118.8,118.8,118.79,118.8,0,PKG
2017-09-22 09:30:00,118.65,118.65,115.72,115.94,321908,PKG
2017-09-22 10:30:00,115.82,115.82,115.24,115.4,114429,PKG
2017-09-22 11:30:00,115.37,116.18,115.37,116.04,96112,PKG
2017-09-22 12:30:00,116.08,116.18,115.73,116.0,91635,PKG
2017-09-22 13:30:00,115.92,116.12,115.85,116.11,87169,PKG
2017-09-22 14:30:00,116.05,116.83,116.05,116.05,99404,PKG
