Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:30:00,123.15,123.79,122.41,122.57,0,PVH
2017-08-10 10:30:00,122.78,122.87,121.88,122.14,102146,PVH
2017-08-10 11:30:00,122.18,122.72,122.09,122.25,46314,PVH
2017-08-10 12:30:00,122.21,122.21,121.6,122.15,62874,PVH
2017-08-10 13:30:00,122.18,122.54,121.91,122.46,63577,PVH
2017-08-10 14:30:00,122.58,122.67,121.94,122.05,107464,PVH
2017-08-10 15:30:00,122.07,122.13,121.63,121.65,206381,PVH
2017-08-10 16:00:00,121.63,122.21,121.1,121.63,0,PVH
2017-08-10 18:00:00,121.1,121.1,121.1,121.1,0,PVH
2017-08-11 09:30:00,121.09,123.93,121.09,123.5,136627,PVH
2017-08-11 10:30:00,123.58,124.03,123.47,123.61,74591,PVH
2017-08-11 11:30:00,123.43,123.79,123.43,123.79,55021,PVH
2017-08-11 12:30:00,123.82,124.01,123.73,123.92,40482,PVH
2017-08-11 13:30:00,123.94,123.97,123.6,123.74,55946,PVH
2017-08-11 14:30:00,123.79,124.23,123.37,124.23,136297,PVH
2017-08-11 15:30:00,124.25,124.31,123.79,123.87,145292,PVH
2017-08-11 16:00:00,123.88,123.88,123.66,123.66,0,PVH
2017-08-14 09:30:00,124.43,124.7,124.04,124.67,110546,PVH
2017-08-14 10:30:00,124.78,125.04,124.6,124.91,68370,PVH
2017-08-14 11:30:00,124.89,124.95,124.59,124.62,48541,PVH
2017-08-14 12:30:00,124.65,124.87,124.54,124.72,46652,PVH
2017-08-14 13:30:00,124.74,124.89,124.54,124.6,45922,PVH
2017-08-14 14:30:00,124.56,124.68,124.36,124.62,93526,PVH
2017-08-14 15:30:00,124.64,124.66,124.34,124.4,133380,PVH
2017-08-14 16:00:00,124.74,124.74,124.37,124.37,0,PVH
2017-08-15 09:30:00,123.61,123.64,121.88,123.58,167476,PVH
2017-08-15 10:30:00,123.55,124.39,123.39,124.0,90702,PVH
2017-08-15 11:30:00,123.85,124.83,123.85,124.26,128678,PVH
2017-08-15 12:30:00,124.2,124.6,124.08,124.08,63398,PVH
2017-08-15 13:30:00,124.09,124.12,123.79,124.02,74502,PVH
2017-08-15 14:30:00,123.97,123.99,123.66,123.77,96402,PVH
2017-08-15 15:30:00,123.66,123.81,123.31,123.4,141399,PVH
2017-08-15 16:00:00,123.38,123.7,123.38,123.38,0,PVH
2017-08-15 17:00:00,123.4,123.4,123.4,123.4,0,PVH
