Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:30:00,73.71,73.99,73.54,73.61,0,RMD
2017-08-10 10:30:00,73.73,73.73,73.15,73.24,67388,RMD
2017-08-10 11:30:00,73.28,73.34,72.98,72.98,59838,RMD
2017-08-10 12:30:00,72.96,73.0,72.74,72.97,90344,RMD
2017-08-10 13:30:00,72.95,72.99,72.75,72.87,53968,RMD
2017-08-10 14:30:00,72.9,73.01,72.67,72.72,95204,RMD
2017-08-10 15:30:00,72.73,72.74,72.57,72.62,171218,RMD
2017-08-10 16:00:00,72.62,72.95,72.62,72.62,0,RMD
2017-08-10 17:00:00,72.61,72.61,72.61,72.61,0,RMD
2017-08-11 08:00:00,72.61,72.61,72.61,72.61,0,RMD
2017-08-11 09:00:00,72.27,72.27,72.27,72.27,0,RMD
2017-08-11 09:30:00,72.62,73.0,72.62,73.0,45580,RMD
2017-08-11 10:30:00,73.02,73.22,73.0,73.01,23598,RMD
2017-08-11 11:30:00,73.05,73.16,72.95,72.95,27920,RMD
2017-08-11 12:30:00,72.99,73.02,72.93,72.93,26840,RMD
2017-08-11 13:30:00,72.96,73.0,72.91,72.91,22248,RMD
2017-08-11 14:30:00,72.91,72.91,72.57,72.59,81673,RMD
2017-08-11 15:30:00,72.6,72.64,72.52,72.59,141514,RMD
2017-08-11 16:00:00,72.56,72.78,72.56,72.74,0,RMD
2017-08-14 09:30:00,73.33,73.33,73.03,73.11,52153,RMD
2017-08-14 10:30:00,73.15,73.4,73.11,73.23,27414,RMD
2017-08-14 11:30:00,73.25,73.28,72.98,73.04,31105,RMD
2017-08-14 12:30:00,73.04,73.09,72.97,72.99,26471,RMD
2017-08-14 13:30:00,72.99,73.18,72.97,73.18,40690,RMD
2017-08-14 14:30:00,73.17,73.44,73.13,73.43,46989,RMD
2017-08-14 15:30:00,73.47,73.65,73.4,73.52,142884,RMD
2017-08-14 16:00:00,73.62,73.62,73.34,73.62,0,RMD
2017-08-15 09:30:00,73.13,73.13,72.81,72.92,38724,RMD
2017-08-15 10:30:00,72.86,72.92,72.81,72.84,59072,RMD
2017-08-15 11:30:00,72.82,72.84,72.67,72.76,37415,RMD
2017-08-15 12:30:00,72.75,72.86,72.71,72.86,42497,RMD
2017-08-15 13:30:00,72.86,72.91,72.84,72.86,40813,RMD
2017-08-15 14:30:00,72.85,72.86,72.67,72.67,77121,RMD
2017-08-15 15:30:00,72.68,72.72,72.5,72.53,126120,RMD
2017-08-15 16:00:00,72.44,72.44,72.44,72.44,84822,RMD
2017-08-15 17:00:00,72.45,72.45,72.45,72.45,0,RMD
2017-08-16 09:30:00,72.55,72.96,72.5,72.83,36408,RMD
2017-08-16 10:30:00,72.81,72.81,72.62,72.67,60624,RMD
2017-08-16 11:30:00,72.7,72.78,72.68,72.76,33702,RMD
2017-08-16 12:30:00,72.74,72.77,72.63,72.64,34418,RMD
2017-08-16 13:30:00,72.63,72.79,72.62,72.71,43767,RMD
2017-08-16 14:30:00,72.68,72.74,72.56,72.61,100853,RMD
2017-08-16 15:30:00,72.61,72.68,72.54,72.68,112682,RMD
2017-08-16 16:00:00,72.7,72.7,72.68,72.7,0,RMD
2017-08-17 08:00:00,72.68,73.28,72.68,73.28,0,RMD
2017-08-17 09:30:00,73.0,73.49,72.91,72.91,47826,RMD
2017-08-17 10:30:00,72.96,73.49,72.96,73.44,42536,RMD
2017-08-17 11:30:00,73.48,73.49,73.23,73.3,33692,RMD
2017-08-17 12:30:00,73.31,73.35,73.2,73.26,23611,RMD
2017-08-17 13:30:00,73.25,73.33,73.2,73.3,43625,RMD
2017-08-17 14:30:00,73.34,73.38,73.09,73.09,71668,RMD
2017-08-17 15:30:00,73.06,73.1,72.79,72.81,121956,RMD
2017-08-17 16:00:00,72.79,73.1,72.79,73.01,0,RMD
2017-08-17 18:00:00,72.79,72.79,72.79,72.79,0,RMD
2017-08-18 09:00:00,72.82,72.82,72.81,72.82,0,RMD
2017-08-18 09:30:00,72.82,72.89,72.54,72.54,88057,RMD
2017-08-18 10:30:00,72.49,73.04,72.49,73.04,41369,RMD
2017-08-18 11:30:00,73.03,73.13,72.84,72.93,66620,RMD
2017-08-18 12:30:00,73.03,73.21,72.9,72.93,46463,RMD
2017-08-18 13:30:00,72.93,73.19,72.82,73.19,54059,RMD
2017-08-18 14:30:00,73.16,73.26,73.13,73.24,71937,RMD
2017-08-18 15:30:00,73.23,73.26,73.07,73.08,108381,RMD
2017-08-18 16:00:00,73.07,73.07,73.07,73.07,0,RMD
