Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:00:00,83.02,83.02,82.78,82.78,0,TROW
2017-08-10 09:30:00,83.15,84.69,83.15,83.45,483903,TROW
2017-08-10 10:30:00,83.44,83.51,83.0,83.05,224457,TROW
2017-08-10 11:30:00,83.05,83.18,82.7,82.7,180504,TROW
2017-08-10 12:30:00,82.65,83.15,82.5,83.15,144943,TROW
2017-08-10 13:30:00,83.13,83.49,83.09,83.4,161023,TROW
2017-08-10 14:30:00,83.42,83.6,83.12,83.15,216959,TROW
2017-08-10 15:30:00,83.17,83.22,82.81,82.84,424528,TROW
2017-08-10 16:00:00,82.85,83.25,82.85,82.85,0,TROW
2017-08-10 17:00:00,82.84,82.84,82.84,82.84,0,TROW
2017-08-11 09:00:00,83.19,83.19,83.05,83.13,0,TROW
2017-08-11 09:30:00,83.06,83.28,82.68,83.15,151575,TROW
2017-08-11 10:30:00,83.17,83.75,83.17,83.23,202263,TROW
2017-08-11 11:30:00,83.25,83.43,83.11,83.11,111389,TROW
2017-08-11 12:30:00,83.11,83.11,82.58,82.59,156473,TROW
2017-08-11 13:30:00,82.64,82.86,82.64,82.76,96537,TROW
2017-08-11 14:30:00,82.75,82.78,82.63,82.78,136433,TROW
2017-08-11 15:30:00,82.78,82.95,82.76,82.79,193753,TROW
2017-08-11 16:00:00,82.79,83.01,82.79,83.01,0,TROW
2017-08-14 09:30:00,82.84,83.69,82.84,83.63,80833,TROW
2017-08-14 10:30:00,83.66,83.78,83.49,83.59,74740,TROW
2017-08-14 11:30:00,83.64,83.86,83.52,83.74,92070,TROW
2017-08-14 12:30:00,83.71,83.71,83.37,83.37,64180,TROW
2017-08-14 13:30:00,83.35,83.7,83.26,83.66,140400,TROW
2017-08-14 14:30:00,83.69,83.9,83.58,83.88,157310,TROW
2017-08-14 15:30:00,83.89,84.0,83.78,83.84,254901,TROW
2017-08-14 16:00:00,83.84,83.84,83.71,83.84,0,TROW
2017-08-15 09:00:00,84.02,84.02,84.02,84.02,0,TROW
2017-08-15 09:30:00,84.05,84.05,83.44,83.54,223142,TROW
2017-08-15 10:30:00,83.52,83.87,83.52,83.84,211534,TROW
2017-08-15 11:30:00,83.83,83.97,83.8,83.93,50892,TROW
2017-08-15 12:30:00,83.91,83.93,83.78,83.81,66127,TROW
2017-08-15 13:30:00,83.82,83.98,83.74,83.95,48915,TROW
2017-08-15 14:30:00,83.92,84.09,83.91,84.07,72309,TROW
2017-08-15 15:30:00,84.07,84.13,83.87,83.92,152077,TROW
2017-08-15 16:00:00,83.9,83.9,83.74,83.9,0,TROW
2017-08-15 17:00:00,83.92,83.92,83.91,83.91,0,TROW
2017-08-16 09:00:00,84.35,84.39,84.23,84.23,0,TROW
2017-08-16 09:30:00,84.19,84.95,84.19,84.95,208291,TROW
2017-08-16 10:30:00,84.93,85.05,84.87,85.0,223172,TROW
2017-08-16 11:30:00,85.0,85.04,84.9,84.93,105358,TROW
2017-08-16 12:30:00,84.92,84.93,84.65,84.73,186637,TROW
2017-08-16 13:30:00,84.74,84.79,84.43,84.53,160854,TROW
2017-08-16 14:30:00,84.51,84.57,84.31,84.36,165371,TROW
2017-08-16 15:30:00,84.36,84.36,84.06,84.11,282341,TROW
2017-08-16 16:00:00,84.14,84.59,84.13,84.14,0,TROW
2017-08-17 09:00:00,84.14,84.14,84.14,84.14,0,TROW
2017-08-17 09:30:00,83.66,84.01,83.05,83.12,274664,TROW
2017-08-17 10:30:00,83.18,83.56,83.11,83.34,182022,TROW
2017-08-17 11:30:00,83.31,83.35,83.08,83.26,65862,TROW
2017-08-17 12:30:00,83.25,83.28,82.96,83.06,91712,TROW
2017-08-17 13:30:00,83.08,83.18,82.93,83.13,95066,TROW
2017-08-17 14:30:00,83.1,83.21,82.89,82.98,196680,TROW
2017-08-17 15:30:00,82.93,83.01,82.54,82.59,925858,TROW
2017-08-17 16:00:00,82.61,83.16,82.6,82.6,0,TROW
2017-08-17 18:00:00,82.61,82.61,82.61,82.61,0,TROW
2017-08-18 09:00:00,82.58,82.58,82.5,82.58,0,TROW
2017-08-18 09:30:00,82.41,82.52,82.13,82.47,225069,TROW
2017-08-18 10:30:00,82.39,82.62,82.33,82.62,151714,TROW
2017-08-18 11:30:00,82.59,82.65,82.41,82.56,137972,TROW
2017-08-18 12:30:00,82.55,82.81,82.49,82.53,121000,TROW
2017-08-18 13:30:00,82.56,82.58,82.32,82.5,54784,TROW
2017-08-18 14:30:00,82.48,82.57,82.36,82.51,101768,TROW
2017-08-18 15:30:00,82.5,82.59,82.27,82.29,185066,TROW
2017-08-18 16:00:00,82.3,82.45,82.3,82.3,0,TROW
