Date,Open,High,Low,Close,Volume,Name
2017-08-10 08:00:00,130.15,130.15,130.15,130.15,0,TRV
2017-08-10 09:30:00,129.76,130.13,129.6,129.62,381368,TRV
2017-08-10 10:30:00,129.6,129.78,129.21,129.67,211017,TRV
2017-08-10 11:30:00,129.74,129.85,129.49,129.51,200241,TRV
2017-08-10 12:30:00,129.54,129.79,129.52,129.73,122922,TRV
2017-08-10 13:30:00,129.74,129.81,129.59,129.81,128510,TRV
2017-08-10 14:30:00,129.79,130.02,129.79,129.92,227926,TRV
2017-08-10 15:30:00,129.91,129.91,129.68,129.71,380002,TRV
2017-08-10 16:00:00,129.69,129.77,129.46,129.69,0,TRV
2017-08-10 17:00:00,129.67,129.67,129.67,129.67,0,TRV
2017-08-11 09:30:00,130.3,130.3,128.84,128.88,298594,TRV
2017-08-11 10:30:00,128.82,129.01,128.68,129.01,228404,TRV
2017-08-11 11:30:00,128.99,129.05,128.57,128.6,112421,TRV
2017-08-11 12:30:00,128.62,128.89,128.59,128.65,206837,TRV
2017-08-11 13:30:00,128.68,128.68,128.18,128.18,142131,TRV
2017-08-11 14:30:00,128.18,128.39,128.06,128.06,211976,TRV
2017-08-11 15:30:00,128.07,128.32,128.06,128.23,240752,TRV
2017-08-11 16:00:00,128.18,128.68,128.18,128.18,0,TRV
2017-08-14 09:30:00,128.44,128.92,128.41,128.65,164648,TRV
2017-08-14 10:30:00,128.67,128.87,128.57,128.87,106459,TRV
2017-08-14 11:30:00,128.88,129.06,128.6,128.65,75524,TRV
2017-08-14 12:30:00,128.66,128.76,128.57,128.72,49887,TRV
2017-08-14 13:30:00,128.71,128.91,128.71,128.88,55636,TRV
2017-08-14 14:30:00,128.9,128.91,128.64,128.74,118364,TRV
2017-08-14 15:30:00,128.71,128.91,128.71,128.77,205234,TRV
2017-08-14 16:00:00,128.79,128.79,128.75,128.79,0,TRV
2017-08-15 07:00:00,128.0,128.0,128.0,128.0,0,TRV
2017-08-15 09:30:00,128.88,129.41,128.71,128.81,208795,TRV
2017-08-15 10:30:00,128.76,128.94,128.76,128.9,100701,TRV
2017-08-15 11:30:00,128.88,128.99,128.78,128.83,107001,TRV
2017-08-15 12:30:00,128.82,129.07,128.8,128.94,160312,TRV
2017-08-15 13:30:00,128.95,129.02,128.88,128.99,72248,TRV
2017-08-15 14:30:00,128.98,129.15,128.98,129.05,85565,TRV
2017-08-15 15:30:00,129.03,129.11,129.02,129.06,132098,TRV
2017-08-15 16:00:00,129.05,129.54,122.02,129.05,0,TRV
2017-08-15 17:00:00,129.08,129.08,129.07,129.07,0,TRV
2017-08-16 09:30:00,129.3,129.95,129.3,129.61,158038,TRV
2017-08-16 10:30:00,129.55,130.33,129.55,129.85,367152,TRV
2017-08-16 11:30:00,129.81,129.85,129.71,129.74,107827,TRV
2017-08-16 12:30:00,129.73,129.77,129.51,129.61,84030,TRV
2017-08-16 13:30:00,129.6,129.92,129.58,129.75,121770,TRV
2017-08-16 14:30:00,129.76,129.82,129.58,129.6,97816,TRV
2017-08-16 15:30:00,129.58,129.59,129.42,129.48,184863,TRV
2017-08-16 16:00:00,129.5,129.5,129.47,129.47,0,TRV
2017-08-17 09:30:00,129.64,129.64,129.06,129.06,159141,TRV
2017-08-17 10:30:00,129.07,129.15,128.82,128.95,202210,TRV
2017-08-17 11:30:00,128.92,129.0,128.43,128.53,142564,TRV
2017-08-17 12:30:00,128.48,128.63,128.43,128.5,103610,TRV
2017-08-17 13:30:00,128.53,128.79,128.49,128.79,161789,TRV
2017-08-17 14:30:00,128.77,128.85,128.7,128.7,253707,TRV
2017-08-17 15:30:00,128.71,128.71,128.06,128.1,447373,TRV
2017-08-17 16:00:00,128.5,128.67,128.19,128.19,0,TRV
2017-08-17 18:00:00,128.19,128.19,128.19,128.19,0,TRV
2017-08-18 09:30:00,128.17,128.42,127.87,127.92,358707,TRV
2017-08-18 10:30:00,127.84,127.86,127.53,127.74,148038,TRV
2017-08-18 11:30:00,127.74,127.94,127.69,127.91,101774,TRV
2017-08-18 12:30:00,127.88,128.43,127.86,128.25,104927,TRV
2017-08-18 13:30:00,128.25,128.35,128.12,128.21,93261,TRV
2017-08-18 14:30:00,128.2,128.24,127.98,127.98,87425,TRV
2017-08-18 15:30:00,127.96,128.02,127.87,127.87,149407,TRV
2017-08-18 16:00:00,127.89,128.08,127.87,127.92,0,TRV
2017-08-21 09:30:00,127.84,127.86,126.92,127.28,189534,TRV
2017-08-21 10:30:00,127.25,127.53,127.14,127.42,172426,TRV
2017-08-21 11:30:00,127.4,127.55,127.28,127.47,98223,TRV
2017-08-21 12:30:00,127.42,127.51,127.4,127.45,77705,TRV
2017-08-21 13:30:00,127.42,127.53,127.35,127.5,86125,TRV
2017-08-21 14:30:00,127.47,127.56,127.39,127.56,106250,TRV
2017-08-21 15:30:00,127.6,127.65,127.43,127.46,165123,TRV
2017-08-21 16:00:00,127.45,127.48,127.42,127.45,0,TRV
2017-08-21 18:00:00,127.45,127.45,127.45,127.45,0,TRV
2017-08-22 09:30:00,127.88,128.06,127.61,127.89,135591,TRV
2017-08-22 10:30:00,127.89,127.89,127.64,127.73,77178,TRV
2017-08-22 11:30:00,127.71,127.8,127.58,127.6,81306,TRV
2017-08-22 12:30:00,127.57,127.68,127.48,127.62,76413,TRV
2017-08-22 13:30:00,127.59,127.63,127.44,127.45,123130,TRV
2017-08-22 14:30:00,127.47,127.81,127.46,127.67,170756,TRV
2017-08-22 15:30:00,127.68,127.82,127.67,127.76,206380,TRV
2017-08-22 16:00:00,127.77,127.77,127.71,127.77,0,TRV
2017-08-22 17:00:00,127.8,127.8,127.77,127.77,0,TRV
2017-08-23 09:00:00,127.77,127.77,127.77,127.77,0,TRV
2017-08-23 09:30:00,127.63,128.19,127.54,127.81,140639,TRV
2017-08-23 10:30:00,127.77,127.87,127.65,127.74,90393,TRV
2017-08-23 11:30:00,127.7,127.7,127.46,127.47,91457,TRV
2017-08-23 12:30:00,127.47,127.6,127.31,127.31,95097,TRV
2017-08-23 13:30:00,127.31,127.31,126.99,127.14,91532,TRV
2017-08-23 14:30:00,127.17,127.26,127.08,127.24,125118,TRV
2017-08-23 15:30:00,127.23,127.25,127.1,127.14,200615,TRV
2017-08-23 16:00:00,127.16,127.39,127.16,127.16,0,TRV
2017-08-24 08:00:00,127.16,127.16,127.16,127.16,0,TRV
2017-08-24 09:30:00,127.04,127.35,126.61,126.67,106278,TRV
2017-08-24 10:30:00,126.69,126.83,126.38,126.42,149123,TRV
2017-08-24 11:30:00,126.43,127.02,126.39,126.93,108537,TRV
2017-08-24 12:30:00,126.94,127.02,126.85,127.0,46334,TRV
2017-08-24 13:30:00,127.03,127.03,126.4,126.4,78934,TRV
2017-08-24 14:30:00,126.43,126.62,125.95,125.97,145287,TRV
2017-08-24 15:30:00,125.93,125.99,125.52,125.58,287831,TRV
2017-08-24 16:00:00,125.57,126.28,125.57,125.58,0,TRV
2017-08-24 17:00:00,120.85,125.11,120.85,124.49,0,TRV
2017-08-25 04:00:00,125.55,125.55,125.55,125.55,0,TRV
2017-08-25 09:00:00,125.1,126.3,125.1,126.3,0,TRV
2017-08-25 09:30:00,126.0,126.24,125.56,125.8,173802,TRV
2017-08-25 10:30:00,125.83,125.86,125.59,125.77,138301,TRV
2017-08-25 11:30:00,125.77,126.21,125.77,126.2,87969,TRV
2017-08-25 12:30:00,126.21,126.41,126.18,126.38,63946,TRV
2017-08-25 13:30:00,126.37,126.56,126.3,126.53,89968,TRV
2017-08-25 14:30:00,126.54,126.68,126.42,126.65,110340,TRV
2017-08-25 15:30:00,126.64,126.64,126.33,126.43,254554,TRV
2017-08-25 16:00:00,126.47,126.49,126.47,126.49,0,TRV
2017-08-25 18:00:00,126.45,126.45,126.45,126.45,0,TRV
2017-08-25 19:00:00,126.02,126.02,126.02,126.02,0,TRV
2017-08-28 08:00:00,123.12,124.57,123.12,124.57,0,TRV
2017-08-28 09:00:00,122.73,125.99,122.73,124.39,0,TRV
2017-08-28 09:30:00,125.15,125.15,122.42,122.96,635997,TRV
2017-08-28 10:30:00,122.85,123.2,122.85,122.85,239906,TRV
2017-08-28 11:30:00,122.83,123.07,122.66,122.84,223357,TRV
2017-08-28 12:30:00,122.89,123.33,122.89,123.25,201120,TRV
2017-08-28 13:30:00,123.25,123.25,122.98,123.07,124760,TRV
2017-08-28 14:30:00,123.04,123.24,122.92,123.24,197137,TRV
2017-08-28 15:30:00,123.25,123.33,123.07,123.23,324474,TRV
2017-08-28 16:00:00,122.94,123.23,122.91,123.23,0,TRV
2017-08-28 17:00:00,123.0,123.0,123.0,123.0,0,TRV
2017-08-28 18:00:00,123.23,123.23,123.23,123.23,0,TRV
2017-08-29 04:00:00,123.0,123.0,123.0,123.0,0,TRV
2017-08-29 09:00:00,122.2,122.2,122.2,122.2,0,TRV
2017-08-29 09:30:00,122.42,123.91,122.3,123.46,341845,TRV
2017-08-29 10:30:00,123.51,123.59,123.03,123.03,176187,TRV
2017-08-29 11:30:00,123.04,123.06,122.78,122.95,154403,TRV
2017-08-29 12:30:00,122.96,123.2,122.9,123.19,120571,TRV
2017-08-29 13:30:00,123.18,123.18,122.82,122.82,126844,TRV
2017-08-29 14:30:00,122.84,122.87,122.57,122.82,163631,TRV
2017-08-29 15:30:00,122.8,123.08,122.78,122.99,218624,TRV
2017-08-29 16:00:00,123.01,123.44,123.01,123.01,0,TRV
2017-08-30 08:00:00,123.0,123.0,123.0,123.0,0,TRV
2017-08-30 09:30:00,123.5,123.5,122.22,122.31,255399,TRV
2017-08-30 10:30:00,122.25,122.49,122.11,122.33,193910,TRV
2017-08-30 11:30:00,122.31,122.37,121.88,122.06,194156,TRV
2017-08-30 12:30:00,122.09,122.19,121.97,122.1,107359,TRV
2017-08-30 13:30:00,122.1,122.25,122.0,122.07,118878,TRV
2017-08-30 14:30:00,122.04,122.05,121.89,121.96,145137,TRV
2017-08-30 15:30:00,121.93,121.97,121.62,121.79,221332,TRV
2017-08-30 16:00:00,122.17,122.17,121.81,121.81,0,TRV
2017-08-30 17:00:00,121.75,121.82,121.75,121.82,0,TRV
2017-08-31 08:00:00,121.81,121.81,121.81,121.81,0,TRV
2017-08-31 09:00:00,121.95,121.95,121.9,121.9,0,TRV
2017-08-31 09:30:00,122.02,122.09,121.4,121.44,178873,TRV
2017-08-31 10:30:00,121.49,121.52,121.07,121.25,142847,TRV
2017-08-31 11:30:00,121.22,121.24,120.96,121.09,158865,TRV
2017-08-31 12:30:00,121.07,121.08,120.62,120.68,137691,TRV
2017-08-31 13:30:00,120.67,120.69,120.16,120.5,217745,TRV
2017-08-31 14:30:00,120.54,120.98,120.32,120.98,283289,TRV
2017-08-31 15:30:00,120.99,121.35,120.92,121.18,506160,TRV
2017-08-31 16:00:00,121.18,121.19,121.04,121.18,0,TRV
2017-08-31 17:00:00,121.72,121.72,121.72,121.72,0,TRV
2017-09-01 08:00:00,121.18,121.18,121.18,121.18,0,TRV
2017-09-01 09:00:00,121.31,121.31,121.31,121.31,0,TRV
2017-09-01 09:30:00,121.35,121.66,121.08,121.57,225321,TRV
2017-09-01 10:30:00,121.54,121.75,121.32,121.32,146756,TRV
2017-09-01 11:30:00,121.35,121.35,120.82,120.96,148319,TRV
2017-09-01 12:30:00,120.96,121.1,120.76,120.76,99555,TRV
2017-09-01 13:30:00,120.75,120.84,120.05,120.05,196873,TRV
2017-09-01 14:30:00,120.05,120.13,119.68,119.92,301939,TRV
2017-09-01 15:30:00,119.92,120.05,119.83,119.88,329191,TRV
2017-09-01 16:00:00,119.9,120.53,119.89,119.9,0,TRV
2017-09-05 08:00:00,118.56,119.16,118.56,118.56,0,TRV
2017-09-05 09:00:00,119.0,119.45,119.0,119.35,0,TRV
2017-09-05 09:30:00,118.77,118.77,117.1,117.6,736137,TRV
2017-09-05 10:30:00,117.57,117.88,117.29,117.31,322598,TRV
2017-09-05 11:30:00,117.33,117.42,116.53,116.53,256441,TRV
2017-09-05 12:30:00,116.46,116.53,116.09,116.24,301593,TRV
2017-09-05 13:30:00,116.25,116.25,115.97,116.01,361162,TRV
2017-09-05 14:30:00,116.01,116.04,115.42,115.45,488998,TRV
2017-09-05 15:30:00,115.48,115.67,115.22,115.45,683893,TRV
2017-09-05 16:00:00,115.43,117.73,115.43,115.43,0,TRV
