Date,Open,High,Low,Close,Volume,Name
2017-08-10 08:00:00,82.0,82.0,82.0,82.0,0,TXN
2017-08-10 09:00:00,81.75,81.75,81.75,81.75,0,TXN
2017-08-10 09:30:00,81.67,81.98,81.2,81.51,435100,TXN
2017-08-10 10:30:00,81.54,81.8,81.34,81.46,308066,TXN
2017-08-10 11:30:00,81.51,81.54,80.84,80.99,491504,TXN
2017-08-10 12:30:00,80.99,81.22,80.65,81.03,604531,TXN
2017-08-10 13:30:00,81.03,81.22,80.83,81.21,380327,TXN
2017-08-10 14:30:00,81.2,81.33,80.6,80.73,489206,TXN
2017-08-10 15:30:00,80.74,80.75,80.29,80.36,1163532,TXN
2017-08-10 16:00:00,80.36,80.93,79.5,80.84,0,TXN
2017-08-10 17:00:00,80.35,80.36,80.08,80.08,0,TXN
2017-08-10 18:00:00,79.52,80.0,79.52,79.52,0,TXN
2017-08-11 08:00:00,79.62,79.62,79.62,79.62,0,TXN
2017-08-11 09:00:00,80.1,80.58,79.68,80.56,0,TXN
2017-08-11 09:30:00,80.64,81.33,80.47,81.05,878745,TXN
2017-08-11 10:30:00,81.06,81.16,80.73,80.75,328745,TXN
2017-08-11 11:30:00,80.79,81.11,80.79,80.89,533966,TXN
2017-08-11 12:30:00,80.91,81.1,80.86,80.89,207620,TXN
2017-08-11 13:30:00,80.89,81.19,80.82,81.0,245222,TXN
2017-08-11 14:30:00,81.0,81.0,80.7,80.91,342790,TXN
2017-08-11 15:30:00,80.92,81.0,80.83,80.89,614962,TXN
2017-08-11 16:00:00,80.89,80.92,80.89,80.89,0,TXN
2017-08-14 09:30:00,81.49,82.15,81.44,81.77,1037348,TXN
2017-08-14 10:30:00,81.8,82.05,81.69,81.76,263760,TXN
2017-08-14 11:30:00,81.78,82.1,81.78,82.0,217877,TXN
2017-08-14 12:30:00,82.0,82.03,81.79,81.95,236129,TXN
2017-08-14 13:30:00,81.93,81.95,81.77,81.9,284459,TXN
2017-08-14 14:30:00,81.91,81.95,81.79,81.95,355943,TXN
2017-08-14 15:30:00,81.96,82.21,81.94,82.03,656365,TXN
2017-08-14 16:00:00,82.05,82.13,81.77,81.77,0,TXN
2017-08-15 09:30:00,82.02,82.27,81.73,81.86,577789,TXN
2017-08-15 10:30:00,81.86,82.15,81.72,82.0,342783,TXN
2017-08-15 11:30:00,81.98,82.14,81.78,81.98,393134,TXN
2017-08-15 12:30:00,81.97,82.03,81.76,81.8,419650,TXN
2017-08-15 13:30:00,81.83,82.04,81.8,82.04,287443,TXN
2017-08-15 14:30:00,82.02,82.31,81.97,82.14,360153,TXN
2017-08-15 15:30:00,82.14,82.21,81.96,81.96,808893,TXN
2017-08-15 16:00:00,81.95,82.12,81.84,81.95,0,TXN
2017-08-15 17:00:00,81.97,81.97,81.97,81.97,0,TXN
2017-08-16 04:00:00,81.98,82.84,81.98,82.84,0,TXN
2017-08-16 09:00:00,82.33,82.5,82.33,82.42,0,TXN
2017-08-16 09:30:00,82.49,82.5,82.09,82.35,539999,TXN
2017-08-16 10:30:00,82.34,82.48,82.19,82.24,384299,TXN
2017-08-16 11:30:00,82.28,82.64,82.27,82.59,290704,TXN
2017-08-16 12:30:00,82.59,82.66,82.04,82.16,403526,TXN
2017-08-16 13:30:00,82.15,82.41,81.99,82.06,319710,TXN
2017-08-16 14:30:00,82.02,82.38,81.95,82.34,306876,TXN
2017-08-16 15:30:00,82.34,82.48,82.32,82.47,423046,TXN
2017-08-16 16:00:00,82.46,82.59,82.33,82.46,0,TXN
2017-08-17 09:30:00,82.04,82.14,81.09,81.26,586605,TXN
2017-08-17 10:30:00,81.23,81.44,81.1,81.24,349739,TXN
2017-08-17 11:30:00,81.24,81.26,80.79,80.86,405041,TXN
2017-08-17 12:30:00,80.88,80.9,80.5,80.73,369578,TXN
2017-08-17 13:30:00,80.78,80.88,80.36,80.65,387312,TXN
2017-08-17 14:30:00,80.62,80.62,80.29,80.39,567817,TXN
2017-08-17 15:30:00,80.4,80.61,80.11,80.16,1020642,TXN
2017-08-17 16:00:00,80.15,80.91,80.15,80.15,0,TXN
2017-08-17 17:00:00,80.15,80.15,79.55,79.56,0,TXN
