Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:00:00,81.01,81.26,80.98,80.98,0,WBA
2017-08-10 09:30:00,80.7,80.92,80.55,80.79,644875,WBA
2017-08-10 10:30:00,80.82,80.88,80.52,80.65,573991,WBA
2017-08-10 11:30:00,80.7,80.78,80.53,80.56,418286,WBA
2017-08-10 12:30:00,80.57,80.62,80.49,80.53,361095,WBA
2017-08-10 13:30:00,80.55,80.55,80.12,80.24,574696,WBA
2017-08-10 14:30:00,80.25,80.39,79.95,79.99,726771,WBA
2017-08-10 15:30:00,80.0,80.06,79.72,79.76,918961,WBA
2017-08-10 16:00:00,79.75,80.31,79.75,79.75,0,WBA
2017-08-10 17:00:00,79.74,79.75,79.5,79.75,0,WBA
2017-08-10 18:00:00,79.75,79.75,79.5,79.5,0,WBA
2017-08-11 06:00:00,79.75,79.75,79.75,79.75,0,WBA
2017-08-11 08:00:00,79.69,79.69,79.69,79.69,0,WBA
2017-08-11 09:00:00,79.69,79.96,79.69,79.96,0,WBA
2017-08-11 09:30:00,80.0,80.3,79.81,80.27,957149,WBA
2017-08-11 10:30:00,80.25,80.47,80.23,80.31,439367,WBA
2017-08-11 11:30:00,80.3,80.6,80.27,80.57,253117,WBA
2017-08-11 12:30:00,80.58,80.77,80.56,80.72,315747,WBA
2017-08-11 13:30:00,80.72,81.06,80.7,80.99,385616,WBA
2017-08-11 14:30:00,80.98,81.01,80.75,81.0,642306,WBA
2017-08-11 15:30:00,81.01,81.04,80.67,80.7,750992,WBA
2017-08-11 16:00:00,80.72,80.75,80.56,80.72,0,WBA
2017-08-11 17:00:00,80.52,80.52,80.52,80.52,0,WBA
2017-08-14 09:30:00,80.89,81.42,80.89,81.35,627996,WBA
2017-08-14 10:30:00,81.35,81.81,81.35,81.63,494196,WBA
2017-08-14 11:30:00,81.65,81.75,81.44,81.44,300163,WBA
2017-08-14 12:30:00,81.44,81.51,81.24,81.26,256270,WBA
2017-08-14 13:30:00,81.28,81.33,81.17,81.2,300890,WBA
2017-08-14 14:30:00,81.19,81.57,81.18,81.57,554741,WBA
2017-08-14 15:30:00,81.57,81.71,81.27,81.53,1049119,WBA
2017-08-14 16:00:00,81.53,81.62,81.44,81.53,0,WBA
2017-08-14 17:00:00,81.53,81.53,81.53,81.53,0,WBA
2017-08-15 08:00:00,81.98,81.98,81.98,81.98,0,WBA
2017-08-15 09:30:00,81.55,81.67,81.02,81.54,624075,WBA
2017-08-15 10:30:00,81.53,81.64,81.37,81.63,467011,WBA
2017-08-15 11:30:00,81.64,81.67,81.43,81.49,323674,WBA
2017-08-15 12:30:00,81.49,81.52,81.19,81.38,309035,WBA
2017-08-15 13:30:00,81.4,81.73,81.34,81.73,420444,WBA
2017-08-15 14:30:00,81.72,81.86,81.56,81.56,608723,WBA
2017-08-15 15:30:00,81.56,81.68,81.09,81.11,928825,WBA
2017-08-15 16:00:00,81.13,81.36,81.13,81.13,0,WBA
2017-08-15 17:00:00,81.15,81.15,81.15,81.15,0,WBA
2017-08-16 09:00:00,81.1,81.1,81.06,81.06,0,WBA
2017-08-16 09:30:00,81.21,81.55,81.08,81.49,553888,WBA
2017-08-16 10:30:00,81.5,81.78,81.46,81.64,415494,WBA
2017-08-16 11:30:00,81.65,81.83,81.51,81.56,413995,WBA
2017-08-16 12:30:00,81.56,81.59,81.28,81.42,344867,WBA
2017-08-16 13:30:00,81.44,81.44,81.1,81.16,497475,WBA
2017-08-16 14:30:00,81.14,81.44,81.12,81.44,468582,WBA
2017-08-16 15:30:00,81.44,81.51,81.21,81.27,582690,WBA
2017-08-16 16:00:00,81.26,81.56,81.02,81.26,0,WBA
2017-08-17 08:00:00,81.25,81.25,81.25,81.25,0,WBA
2017-08-17 09:00:00,80.8,80.8,80.61,80.61,0,WBA
2017-08-17 09:30:00,80.8,81.75,80.78,81.37,568699,WBA
2017-08-17 10:30:00,81.31,81.86,81.31,81.69,472673,WBA
2017-08-17 11:30:00,81.64,81.71,81.35,81.5,316239,WBA
2017-08-17 12:30:00,81.53,81.57,81.2,81.22,323198,WBA
2017-08-17 13:30:00,81.23,81.3,81.06,81.24,350050,WBA
2017-08-17 14:30:00,81.24,81.31,81.1,81.25,433478,WBA
2017-08-17 15:30:00,81.24,81.36,80.86,80.89,607655,WBA
2017-08-17 16:00:00,80.89,81.37,80.89,80.89,0,WBA
2017-08-17 17:00:00,80.75,80.75,80.75,80.75,0,WBA
2017-08-17 18:00:00,80.89,80.89,80.89,80.89,0,WBA
2017-08-18 09:00:00,80.49,80.89,80.37,80.45,0,WBA
2017-08-18 09:30:00,80.74,80.78,80.44,80.59,712381,WBA
2017-08-18 10:30:00,80.56,80.94,80.25,80.37,592787,WBA
2017-08-18 11:30:00,80.39,80.63,80.29,80.48,449932,WBA
2017-08-18 12:30:00,80.49,80.72,80.36,80.47,407992,WBA
2017-08-18 13:30:00,80.46,80.51,80.25,80.27,367790,WBA
2017-08-18 14:30:00,80.28,80.3,80.1,80.14,646243,WBA
2017-08-18 15:30:00,80.15,80.21,80.01,80.03,1021459,WBA
2017-08-18 16:00:00,80.03,80.33,80.03,80.05,0,WBA
2017-08-21 09:30:00,80.17,80.55,80.11,80.26,517510,WBA
2017-08-21 10:30:00,80.26,80.53,80.2,80.52,465019,WBA
2017-08-21 11:30:00,80.52,80.72,80.31,80.72,548820,WBA
2017-08-21 12:30:00,80.73,80.84,80.62,80.75,375067,WBA
2017-08-21 13:30:00,80.77,80.93,80.65,80.65,342380,WBA
2017-08-21 14:30:00,80.64,80.7,80.39,80.68,630060,WBA
2017-08-21 15:30:00,80.68,80.78,80.58,80.59,632553,WBA
2017-08-21 16:00:00,80.6,80.62,80.56,80.6,0,WBA
2017-08-21 17:00:00,80.5,80.5,80.5,80.5,0,WBA
2017-08-22 09:00:00,80.6,80.6,80.6,80.6,0,WBA
2017-08-22 09:30:00,80.81,81.63,80.81,81.46,418021,WBA
2017-08-22 10:30:00,81.5,81.72,81.42,81.66,448985,WBA
2017-08-22 11:30:00,81.66,81.84,81.36,81.4,481023,WBA
2017-08-22 12:30:00,81.4,81.55,81.39,81.46,201352,WBA
2017-08-22 13:30:00,81.47,81.48,81.24,81.39,345004,WBA
2017-08-22 14:30:00,81.39,81.5,81.33,81.44,395345,WBA
2017-08-22 15:30:00,81.45,81.46,81.27,81.28,481245,WBA
2017-08-22 16:00:00,81.28,81.44,81.28,81.28,0,WBA
2017-08-22 17:00:00,81.3,81.3,81.3,81.3,0,WBA
2017-08-23 08:00:00,81.5,81.5,81.5,81.5,0,WBA
2017-08-23 09:00:00,81.0,81.0,81.0,81.0,0,WBA
2017-08-23 09:30:00,80.85,81.12,80.81,81.1,463309,WBA
2017-08-23 10:30:00,81.11,81.41,81.11,81.21,379765,WBA
2017-08-23 11:30:00,81.21,81.43,81.19,81.33,381638,WBA
2017-08-23 12:30:00,81.34,81.5,81.34,81.37,436506,WBA
2017-08-23 13:30:00,81.37,81.5,81.15,81.25,864065,WBA
2017-08-23 14:30:00,81.24,81.48,81.23,81.43,439352,WBA
2017-08-23 15:30:00,81.43,81.43,81.24,81.36,617586,WBA
2017-08-23 16:00:00,81.36,81.36,80.9,81.36,0,WBA
2017-08-24 08:00:00,81.36,81.36,81.35,81.35,0,WBA
2017-08-24 09:00:00,81.35,81.35,81.01,81.35,0,WBA
2017-08-24 09:30:00,81.32,81.64,80.91,81.2,537308,WBA
2017-08-24 10:30:00,81.18,81.34,80.77,80.82,642722,WBA
2017-08-24 11:30:00,80.85,81.05,80.81,81.0,543720,WBA
2017-08-24 12:30:00,81.0,81.29,80.88,81.13,271701,WBA
2017-08-24 13:30:00,81.16,81.16,79.77,79.83,978975,WBA
2017-08-24 14:30:00,79.79,80.27,79.27,80.16,1031380,WBA
2017-08-24 15:30:00,80.17,80.59,79.99,80.51,2320281,WBA
2017-08-24 16:00:00,80.5,80.52,80.47,80.5,0,WBA
2017-08-24 17:00:00,80.5,80.78,80.5,80.5,0,WBA
2017-08-24 18:00:00,80.56,80.56,80.55,80.55,0,WBA
2017-08-25 09:00:00,80.78,80.78,80.78,80.78,0,WBA
2017-08-25 09:30:00,80.86,81.8,80.86,81.68,807673,WBA
2017-08-25 10:30:00,81.65,81.74,81.03,81.08,619893,WBA
2017-08-25 11:30:00,81.1,81.49,80.94,81.45,350571,WBA
2017-08-25 12:30:00,81.44,81.5,81.2,81.28,477883,WBA
2017-08-25 13:30:00,81.32,81.45,81.14,81.14,457183,WBA
2017-08-25 14:30:00,81.15,81.42,81.06,81.4,576527,WBA
2017-08-25 15:30:00,81.39,81.43,81.13,81.14,671252,WBA
2017-08-25 16:00:00,81.13,81.31,81.1,81.13,0,WBA
2017-08-28 09:00:00,81.1,81.36,81.1,81.35,0,WBA
2017-08-28 09:30:00,81.46,81.64,81.01,81.07,419457,WBA
2017-08-28 10:30:00,81.11,81.49,81.02,81.35,338990,WBA
2017-08-28 11:30:00,81.33,81.45,81.23,81.29,287335,WBA
2017-08-28 12:30:00,81.3,81.37,81.23,81.31,241306,WBA
2017-08-28 13:30:00,81.31,81.4,81.26,81.4,343266,WBA
2017-08-28 14:30:00,81.37,81.4,81.15,81.31,352094,WBA
2017-08-28 15:30:00,81.31,81.34,81.08,81.17,631952,WBA
2017-08-28 16:00:00,81.16,81.41,81.16,81.16,0,WBA
2017-08-28 17:00:00,80.0,81.16,80.0,81.16,0,WBA
2017-08-29 09:00:00,80.96,80.96,80.94,80.95,0,WBA
2017-08-29 09:30:00,80.81,81.31,80.81,81.29,434442,WBA
2017-08-29 10:30:00,81.31,81.64,81.26,81.36,436369,WBA
2017-08-29 11:30:00,81.35,81.65,81.35,81.6,345196,WBA
2017-08-29 12:30:00,81.59,81.63,81.42,81.58,259736,WBA
2017-08-29 13:30:00,81.59,81.61,81.46,81.5,265838,WBA
2017-08-29 14:30:00,81.5,81.76,81.5,81.68,502408,WBA
2017-08-29 15:30:00,81.68,81.7,81.35,81.43,545015,WBA
2017-08-29 16:00:00,81.42,81.51,81.42,81.42,0,WBA
2017-08-30 09:00:00,81.52,81.53,81.52,81.53,0,WBA
2017-08-30 09:30:00,81.5,81.81,81.28,81.65,405790,WBA
2017-08-30 10:30:00,81.61,81.91,81.6,81.65,387046,WBA
2017-08-30 11:30:00,81.64,81.91,81.64,81.8,282697,WBA
2017-08-30 12:30:00,81.83,82.09,81.83,82.0,369662,WBA
2017-08-30 13:30:00,82.0,82.23,81.99,82.14,295299,WBA
2017-08-30 14:30:00,82.13,82.2,81.86,81.96,480718,WBA
2017-08-30 15:30:00,81.93,81.93,81.7,81.78,649073,WBA
2017-08-30 16:00:00,81.78,81.87,81.74,81.78,0,WBA
2017-08-31 09:30:00,81.78,82.19,81.71,81.99,536222,WBA
2017-08-31 10:30:00,82.0,82.06,81.76,81.95,587381,WBA
2017-08-31 11:30:00,81.94,82.2,81.9,82.13,362208,WBA
2017-08-31 12:30:00,82.11,82.2,82.1,82.12,297192,WBA
2017-08-31 13:30:00,82.11,82.11,81.82,81.9,456858,WBA
2017-08-31 14:30:00,81.9,81.93,81.62,81.7,690627,WBA
2017-08-31 15:30:00,81.7,81.75,81.39,81.51,1078704,WBA
2017-08-31 16:00:00,81.5,82.13,81.3,81.5,0,WBA
2017-08-31 17:00:00,81.5,81.51,81.5,81.51,0,WBA
2017-09-01 08:00:00,81.74,81.74,81.74,81.74,0,WBA
2017-09-01 09:00:00,81.74,81.74,81.64,81.64,0,WBA
2017-09-01 09:30:00,81.59,81.59,80.62,81.22,1128262,WBA
2017-09-01 10:30:00,81.26,81.29,80.78,80.87,714205,WBA
2017-09-01 11:30:00,80.89,81.08,80.79,81.08,578981,WBA
2017-09-01 12:30:00,81.06,81.31,80.96,81.27,378427,WBA
2017-09-01 13:30:00,81.28,81.28,81.09,81.23,438324,WBA
2017-09-01 14:30:00,81.25,81.4,81.16,81.3,664526,WBA
2017-09-01 15:30:00,81.31,81.31,81.1,81.21,960253,WBA
2017-09-01 16:00:00,81.22,81.22,81.08,81.12,0,WBA
2017-09-05 09:00:00,81.2,81.2,81.17,81.18,0,WBA
2017-09-05 09:30:00,81.18,82.26,81.14,81.93,1049403,WBA
2017-09-05 10:30:00,81.95,82.04,81.63,81.65,731090,WBA
2017-09-05 11:30:00,81.66,81.98,81.46,81.54,498797,WBA
