Date,Open,High,Low,Close,Volume,Name
2018-02-12 09:30:00,,,,,,WELL
2018-02-27 16:00:00,52.22,52.22,52.22,52.22,0.0,WELL
2018-02-28 09:00:00,52.98,52.99,52.98,52.99,0.0,WELL
2018-02-28 09:30:00,52.25,52.78,51.87,51.94,374518.0,WELL
2018-02-28 10:30:00,51.98,52.53,51.98,52.35,325910.0,WELL
2018-02-28 11:30:00,52.33,52.66,52.28,52.53,170745.0,WELL
2018-02-28 12:30:00,52.53,52.64,52.35,52.5,186984.0,WELL
2018-02-28 13:30:00,52.48,52.62,52.36,52.5,186135.0,WELL
2018-02-28 14:30:00,52.48,52.58,52.05,52.08,394501.0,WELL
2018-02-28 15:30:00,52.06,52.31,51.98,52.18,636688.0,WELL
2018-02-28 16:00:00,52.5,52.5,52.2,52.5,0.0,WELL
2018-03-01 09:30:00,52.09,53.3,51.7,53.15,486075.0,WELL
2018-03-01 10:30:00,53.14,53.44,52.85,52.86,351410.0,WELL
2018-03-01 11:30:00,52.85,53.13,52.75,53.03,238044.0,WELL
2018-03-01 12:30:00,53.09,53.09,52.68,52.76,190424.0,WELL
2018-03-01 13:30:00,52.69,52.75,52.47,52.54,261583.0,WELL
2018-03-01 14:30:00,52.57,52.81,52.26,52.6,423986.0,WELL
2018-03-01 15:30:00,52.64,52.66,52.43,52.64,460135.0,WELL
2018-03-01 16:00:00,52.65,52.65,52.65,52.65,0.0,WELL
2018-03-01 17:00:00,52.65,52.65,52.65,52.65,0.0,WELL
2018-03-02 09:30:00,52.33,52.89,52.12,52.82,405710.0,WELL
2018-03-02 10:30:00,52.81,52.9,52.49,52.63,275263.0,WELL
2018-03-02 11:30:00,52.63,52.88,52.56,52.78,380664.0,WELL
2018-03-02 12:30:00,52.78,52.78,52.54,52.56,232243.0,WELL
2018-03-02 13:30:00,52.59,52.74,52.49,52.67,263989.0,WELL
2018-03-02 14:30:00,52.69,52.83,52.62,52.73,281305.0,WELL
2018-03-02 15:30:00,52.72,53.01,52.71,52.92,339194.0,WELL
2018-03-02 16:00:00,52.93,52.93,52.93,52.93,0.0,WELL
2018-03-05 08:00:00,52.93,52.93,52.93,52.93,0.0,WELL
2018-03-05 09:30:00,52.77,53.78,52.77,53.76,319566.0,WELL
2018-03-05 10:30:00,53.79,54.21,53.79,54.16,329034.0,WELL
2018-03-05 11:30:00,54.15,54.15,53.79,54.08,287894.0,WELL
2018-03-05 12:30:00,54.12,54.17,54.04,54.09,263242.0,WELL
2018-03-05 13:30:00,54.09,54.09,53.64,53.67,296590.0,WELL
2018-03-05 14:30:00,53.68,54.06,53.68,53.71,360802.0,WELL
2018-03-05 15:30:00,53.7,54.15,53.69,54.05,652978.0,WELL
2018-03-05 16:00:00,54.07,54.12,53.92,54.07,0.0,WELL
2018-03-06 08:00:00,54.07,54.07,54.07,54.07,0.0,WELL
2018-03-06 09:00:00,54.07,54.07,54.07,54.07,0.0,WELL
2018-03-06 09:30:00,53.62,53.69,52.3,52.54,600436.0,WELL
