Date,Open,High,Low,Close,Volume,Name
2017-08-10 06:00:00,52.5,52.5,52.5,52.5,0,WFC
2017-08-10 08:00:00,52.31,52.5,52.31,52.5,0,WFC
2017-08-10 09:00:00,52.6,52.6,52.37,52.39,0,WFC
2017-08-10 09:30:00,52.39,52.66,52.32,52.61,3176743,WFC
2017-08-10 10:30:00,52.62,52.71,52.28,52.33,2112337,WFC
2017-08-10 11:30:00,52.33,52.45,52.22,52.24,1899449,WFC
2017-08-10 12:30:00,52.24,52.37,52.21,52.35,1385867,WFC
2017-08-10 13:30:00,52.34,52.38,52.18,52.21,1566381,WFC
2017-08-10 14:30:00,52.21,52.32,52.06,52.12,2163521,WFC
2017-08-10 15:30:00,52.12,52.16,51.93,51.95,3435885,WFC
2017-08-10 16:00:00,51.96,52.38,51.8,51.8,0,WFC
2017-08-10 17:00:00,51.94,51.95,51.83,51.85,0,WFC
2017-08-10 18:00:00,51.92,51.92,51.92,51.92,0,WFC
2017-08-10 19:00:00,51.92,51.92,51.89,51.89,0,WFC
2017-08-11 04:00:00,51.89,51.89,51.44,51.44,0,WFC
2017-08-11 06:00:00,51.44,51.44,51.44,51.44,0,WFC
2017-08-11 07:00:00,51.51,51.51,51.51,51.51,0,WFC
2017-08-11 08:00:00,51.58,51.89,51.58,51.89,0,WFC
2017-08-11 09:00:00,51.89,52.1,51.76,51.87,0,WFC
2017-08-11 09:30:00,51.9,52.2,51.75,51.75,3151483,WFC
2017-08-11 10:30:00,51.76,51.9,51.74,51.8,1841525,WFC
2017-08-11 11:30:00,51.82,51.88,51.76,51.83,1901845,WFC
2017-08-11 12:30:00,51.82,52.0,51.81,51.94,1146952,WFC
2017-08-11 13:30:00,51.94,51.96,51.81,51.87,1266378,WFC
2017-08-11 14:30:00,51.87,51.91,51.79,51.91,2122634,WFC
2017-08-11 15:30:00,51.91,52.06,51.88,51.95,2262952,WFC
2017-08-11 16:00:00,51.94,51.95,51.7,51.94,0,WFC
2017-08-11 17:00:00,51.82,51.94,51.8,51.81,0,WFC
2017-08-11 18:00:00,51.94,51.94,51.81,51.94,0,WFC
